,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,math4_score,math8_score,reading4_score,reading8_score,clusters,cluster
1114,49734537.0,50674724.0,-940187,248150.0,5153702.0,309069.0,242.0,288.0,217.0,264.0,1,purple
1115,4300793.0,4584624.0,-283831,12373.0,625461.0,41327.0,243.0,284.0,223.0,270.0,0,pink
1116,1817307.0,1809138.0,8169,5667.0,88690.0,6545.0,248.0,295.0,228.0,274.0,0,pink
1117,15322318.0,15634918.0,-312600,33166.0,1273825.0,88709.0,246.0,288.0,229.0,268.0,2,dark purple
1118,12242231.0,12097549.0,144682,11957.0,1058936.0,84710.0,246.0,290.0,225.0,272.0,0,pink
1119,3486366.0,3488877.0,-2511,15472.0,280958.0,18299.0,237.0,274.0,215.0,257.0,0,pink
1120,11097447.0,10845059.0,252388,56777.0,874414.0,66346.0,245.0,289.0,221.0,268.0,0,pink
1121,1695967.0,1675477.0,20490,514.0,92732.0,6176.0,247.0,288.0,226.0,271.0,0,pink
1173,7360222.0,7501799.0,-141577,13230.0,743789.0,50668.0,231.0,267.0,217.0,259.0,0,pink
1174,2920986.0,2968341.0,-47355,3369.0,132477.0,9651.0,236.0,280.0,213.0,260.0,0,pink
1175,8230507.0,7902600.0,327907,8747.0,1109040.0,84854.0,238.0,283.0,215.0,263.0,0,pink
1176,5308625.0,5350543.0,-41918,16083.0,492132.0,32385.0,235.0,275.0,218.0,259.0,0,pink
1178,9648297.0,9557682.0,90615,32224.0,899112.0,65317.0,242.0,286.0,224.0,268.0,0,pink
1179,11099837.0,10542667.0,557170,18385.0,537933.0,40321.0,240.0,284.0,229.0,273.0,0,pink
1180,2017075.0,1975093.0,41982,1553.0,134847.0,8782.0,239.0,280.0,224.0,263.0,0,pink
1182,26971491.0,27277049.0,-305558,60122.0,2792234.0,192877.0,243.0,275.0,227.0,263.0,2,dark purple
1183,18584666.0,18501103.0,83563,46685.0,1757237.0,109345.0,236.0,279.0,222.0,262.0,2,dark purple
1184,2703683.0,2521004.0,182679,1586.0,181995.0,10741.0,238.0,279.0,215.0,257.0,0,pink
1185,2167967.0,2029520.0,138447,2549.0,292277.0,20087.0,239.0,284.0,222.0,269.0,0,pink
1186,32096832.0,32410033.0,-313201,87589.0,2041779.0,147993.0,237.0,282.0,222.0,267.0,2,dark purple
1187,12456571.0,11378564.0,1078007,18529.0,1046757.0,74952.0,248.0,287.0,227.0,268.0,0,pink
1188,6714410.0,6772654.0,-58244,28971.0,508014.0,36387.0,243.0,286.0,224.0,268.0,0,pink
1189,5991731.0,6175724.0,-183993,18773.0,495884.0,33667.0,241.0,284.0,221.0,267.0,0,pink
1190,7548871.0,7554887.0,-6016,27144.0,686598.0,44659.0,242.0,278.0,228.0,268.0,0,pink
1191,8448743.0,8437263.0,11480,28444.0,718711.0,41790.0,234.0,268.0,216.0,255.0,0,pink
1192,2739589.0,2596180.0,143409,5396.0,181613.0,14028.0,242.0,285.0,224.0,268.0,0,pink
1193,14491642.0,13882823.0,608819,31034.0,879601.0,58493.0,239.0,283.0,223.0,268.0,2,dark purple
1194,16985185.0,16972319.0,12866,29297.0,964026.0,70997.0,251.0,297.0,235.0,274.0,2,dark purple
1195,19025996.0,17742903.0,1283093,48961.0,1536231.0,114700.0,236.0,278.0,216.0,264.0,2,dark purple
1196,11684249.0,11969872.0,-285623,15443.0,864384.0,69441.0,250.0,294.0,223.0,270.0,0,pink
1197,4592343.0,4624539.0,-32196,4867.0,487200.0,29561.0,234.0,271.0,214.0,252.0,0,pink
1198,10623391.0,10540353.0,83038,33360.0,919234.0,64475.0,239.0,281.0,223.0,267.0,0,pink
1199,1804339.0,1804841.0,-502,1158.0,145319.0,9756.0,241.0,287.0,225.0,270.0,0,pink
1200,4248695.0,4283846.0,-35151,15665.0,316014.0,23549.0,244.0,286.0,227.0,269.0,0,pink
1201,4345419.0,4183085.0,162334,5554.0,467527.0,32122.0,234.0,275.0,214.0,259.0,0,pink
1202,3093061.0,3044720.0,48341,3743.0,182425.0,13947.0,249.0,294.0,232.0,275.0,0,pink
1203,29335237.0,28809725.0,525512,63284.0,1408845.0,97602.0,245.0,293.0,229.0,271.0,2,dark purple
1204,3789651.0,3846641.0,-56990,8509.0,335694.0,21106.0,231.0,271.0,207.0,253.0,0,pink
1205,63712218.0,65094591.0,-1382373,50430.0,2711626.0,189562.0,237.0,280.0,223.0,263.0,1,purple
1206,13146934.0,14060699.0,-913765,18565.0,1544934.0,99258.0,244.0,281.0,226.0,261.0,0,pink
1207,1644533.0,1804762.0,-160229,2213.0,108644.0,7459.0,245.0,288.0,225.0,267.0,0,pink
1208,24378660.0,22561728.0,1816932,33118.0,1716585.0,119952.0,244.0,285.0,225.0,266.0,2,dark purple
1209,6121188.0,6184819.0,-63631,41660.0,692878.0,42088.0,240.0,275.0,222.0,263.0,0,pink
1211,29967185.0,29690645.0,276540,8201.0,1717414.0,129921.0,243.0,284.0,227.0,269.0,2,dark purple
1212,2367068.0,2326473.0,40595,2450.0,142014.0,10752.0,238.0,281.0,225.0,265.0,0,pink
1213,8759944.0,8783362.0,-23418,24654.0,763533.0,46909.0,237.0,276.0,218.0,260.0,0,pink
1214,1415149.0,1464781.0,-49632,3112.0,134253.0,8616.0,240.0,285.0,220.0,267.0,0,pink
1215,9455920.0,9562527.0,-106607,30352.0,1001235.0,68585.0,241.0,278.0,219.0,265.0,0,pink
1216,55582029.0,56255791.0,-673762,243496.0,5301477.0,323708.0,244.0,284.0,218.0,261.0,1,purple
1217,4705084.0,4537962.0,167122,13838.0,647870.0,43828.0,243.0,286.0,226.0,269.0,0,pink
1218,1996795.0,1969415.0,27380,7279.0,87866.0,6271.0,243.0,290.0,230.0,274.0,0,pink
1219,15857524.0,16113212.0,-255688,33453.0,1283590.0,90391.0,247.0,288.0,229.0,267.0,2,dark purple
1220,13709442.0,13630138.0,79304,13733.0,1087030.0,89258.0,245.0,287.0,226.0,267.0,0,pink
1221,3478401.0,3466981.0,11420,15077.0,277452.0,18432.0,235.0,271.0,216.0,260.0,0,pink
1222,11637376.0,11553677.0,83699,55907.0,867800.0,66253.0,243.0,289.0,223.0,270.0,0,pink
1223,1962874.0,1942406.0,20468,509.0,94717.0,6299.0,247.0,287.0,228.0,269.0,0,pink
