Primary_Key,State,Year,Enrollment,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score
1992_ALABAMA,AL,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,25087,8224,55460,57948,58025,41167,731634,208,252,207,
1992_ALASKA,AK,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,77103,2371,10152,9748,8789,6714,122487,,,,
1992_ARIZONA,AZ,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,-143501,2544,53497,55433,49081,37410,673477,215,265,209,
1992_ARKANSAS,AR,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212,-31063,808,33511,34632,36011,27651,441490,210,256,211,
1992_CALIFORNIA,CA,1992,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688,-878807,59067,431763,418418,363296,270675,5254844,208,261,202,
1992_COLORADO,CO,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,-79653,7410,47588,50648,45025,34533,612635,221,272,217,
1992_CONNECTICUT,CT,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,112964,5731,41319,38058,33691,28366,488476,227,274,222,
1992_DELAWARE,DE,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,6449,463,8025,8272,8012,6129,104321,218,263,213,
1992_DISTRICT_OF_COLUMBIA,DC,1992,,709480,64749,0,644731,742893,329160,316679,,47272,-33413,4818,6667,5832,5000,3433,80937,193,235,188,
1992_FLORIDA,FL,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,200657,31464,161701,164416,142372,100835,1981407,214,260,208,
1992_GEORGIA,GA,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,959,3303,100745,99648,92374,63646,1207186,216,259,212,
1992_HAWAII,HI,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212,-43312,525,14440,13754,11750,9051,177448,214,257,203,
1992_IDAHO,ID,1992,,859329,69138,531912,258279,886161,473505,246320,,111353,-26832,1231,16018,18607,18880,14593,231668,222,275,219,
1992_ILLINOIS,IL,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858,-101910,39682,139237,133120,134317,106475,1873567,,,,
1992_INDIANA,IN,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404,-122480,3225,66065,73760,75477,62234,960630,221,270,221,
1992_IOWA,IA,1992,,2663934,125665,1176205,1362064,2795774,1446478,800570,,222086,-131840,4592,36428,37692,36892,33057,494839,230,283,225,
1992_KANSAS,KS,1992,,2245348,121625,903199,1220524,2234915,1165749,708572,,157705,10433,2391,34826,36013,33288,26706,451536,,,,
1992_KENTUCKY,KY,1992,,2642902,289902,1643109,709891,2518082,1343438,817871,,136694,124820,14564,46140,49666,49993,38029,655041,215,262,213,
1992_LOUISIANA,LA,1992,,3341253,367822,1848734,1124697,3362853,1888349,986486,,135305,-21600,11439,61244,61125,55942,38368,797985,204,250,204,
1992_MAINE,ME,1992,,1206819,73160,511654,622005,1228869,685350,317880,,97128,-22050,1273,17367,17154,15969,13882,216453,232,279,227,
1992_MARYLAND,MD,1992,,4658498,228336,1778834,2651328,4698374,2628891,1461083,,340298,-39876,16081,59641,60287,52815,40426,751850,217,265,211,
1992_MASSACHUSETTS,MA,1992,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247,272099,10722,75159,66822,60702,52425,859948,227,273,226,
1992_MICHIGAN,MI,1992,,9963137,537917,2539380,6885840,10170688,4681327,3321276,,825552,-207551,10541,135457,118963,114282,90655,1603610,220,267,216,
1992_MINNESOTA,MN,1992,,4684684,194092,2380754,2109838,4981125,2534882,1343203,,463724,-296441,6394,61966,62606,59810,53813,793724,228,282,221,
1992_MISSISSIPPI,MS,1992,,1684706,277706,901199,505801,1691990,956104,445364,,131795,-7284,818,36423,39839,38132,26328,506668,202,246,199,
1992_MISSOURI,MO,1992,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552,-153918,18948,65108,67098,64546,50534,859357,222,271,220,
1992_MONTANA,MT,1992,,828983,69947,337455,421581,781009,412219,241644,,64263,47974,554,11894,12839,12124,10019,160011,,,,
1992_NEBRASKA,NE,1992,,1542413,85423,492256,964734,1534046,909159,394690,,132183,8367,3134,21873,22133,21379,18999,282414,225,278,221,
1992_NEVADA,NV,1992,,1097076,45018,724032,328026,1251651,572623,334685,,249189,-154575,1038,17839,18487,16250,12242,222974,,,,
1992_NEW_HAMPSHIRE,NH,1992,,1063391,31020,86296,946075,1066647,581123,310285,,63554,-3256,1005,7994,15611,13537,10752,181247,230,278,228,
1992_NEW_JERSEY,NJ,1992,,10814689,416063,4504718,5893908,10452340,6042936,2911782,,474259,362349,9123,87427,82909,77779,67353,1130560,227,272,223,
1992_NEW_MEXICO,NM,1992,,1330091,161520,990653,177918,1339829,683253,432392,,139206,-9738,2072,23723,24447,21690,16027,315668,213,260,211,
1992_NEW_YORK,NY,1992,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971,-1185432,31290,201674,197698,184815,142822,2689686,218,266,215,
1992_NORTH_CAROLINA,NC,1992,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194,-182588,6119,89809,85244,84291,63427,1114083,213,258,212,
1992_NORTH_DAKOTA,ND,1992,,559481,51476,242693,265312,553732,315009,152340,,34904,5749,640,8847,9570,9102,8014,118734,229,283,226,
1992_OHIO,OH,1992,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377,-197861,9900,138911,137839,137075,116085,1795199,219,268,217,
1992_OKLAHOMA,OK,1992,,2396705,211627,1470516,714562,2515272,1283577,779828,,194081,-118567,4859,45010,48793,44163,33346,597096,220,268,220,
1992_OREGON,OR,1992,,2773959,163544,788309,1822106,2898210,1556770,967075,,230464,-124251,771,37519,41443,39610,31920,510122,,,,
1992_PENNSYLVANIA,PA,1992,,11257252,658139,4227323,6371790,11539253,6075381,3329224,,964457,-282001,4416,129233,131248,126293,108244,1717613,224,271,221,
1992_RHODE_ISLAND,RI,1992,,883073,43545,329810,509718,863404,556787,265279,,14685,19669,498,10883,11129,10204,8244,143798,215,266,217,
1992_SOUTH_CAROLINA,SC,1992,,2842626,249903,1350148,1242575,2922293,1544232,768292,,261644,-79667,7045,44501,51081,49562,34615,640464,212,261,210,
1992_SOUTH_DAKOTA,SD,1992,,551668,60671,147834,343163,593126,320561,169697,,65568,-41458,705,10266,10645,10498,8259,134573,,,,
1992_TENNESSEE,TN,1992,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437,-52026,9613,64463,65195,63358,49639,855231,211,259,212,
1992_TEXAS,TX,1992,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239,145096,113197,262483,282693,261053,180206,3541769,218,265,213,
1992_UTAH,UT,1992,,1555799,105349,872510,577940,1547980,841552,396073,,155425,7819,2611,32652,35956,36813,28775,463870,224,274,220,
1992_VERMONT,VT,1992,,812377,31757,204163,576457,800377,386699,205777,,25781,12000,1780,7978,8329,7227,5573,98558,,,,
1992_VIRGINIA,VA,1992,,5631293,313971,2180133,3137189,5744469,2982862,1758078,,523409,-113176,1976,82456,79821,76775,60854,1031925,221,268,221,
1992_WASHINGTON,WA,1992,,4870832,263053,3467779,1140000,5360834,2587181,1518521,,855759,-490002,5075,68562,74098,67285,53986,896475,,,,
1992_WEST_VIRGINIA,WV,1992,,1585099,130117,1021803,433179,1587968,835186,465429,,156015,-2869,2308,22081,23556,24791,21844,318296,215,259,216,
1992_WISCONSIN,WI,1992,,4993909,217723,2205439,2570747,5181471,2914442,1490415,,416449,-187562,16227,61568,63365,60783,55543,829415,229,278,224,
1992_WYOMING,WY,1992,,629748,31714,314216,283818,624941,339953,185930,,60815,4807,,7184,8049,8078,6613,100313,225,275,223,
1993_ALABAMA,AL,1993,727716,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207,-6042,8264,56598,57497,60004,39900,734288,,,,
1993_ALASKA,AK,1993,121156,1191398,176150,775829,239419,1126398,494917,433788,36291,135791,65000,2787,10329,10156,9160,6975,125948,,,,
1993_ARIZONA,AZ,1993,676297,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083,680139,-195970,3164,57656,57701,53500,37614,709453,,,,
1993_ARKANSAS,AR,1993,311432,1346909,128196,771079,447634,1376067,782791,386526,68617,97824,-29158,1248,34337,34255,36471,27169,444271,,,,
1993_CALIFORNIA,CA,1993,5129788,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760,-67648,59954,444104,420233,380223,277271,5327231,,,,
1993_COLORADO,CO,1993,539538,3058326,147793,1242337,1668196,3028305,1537714,954032,92163,318959,30021,7249,47598,50807,47665,34770,625062,,,,
1993_CONNECTICUT,CT,1993,471918,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312,186802,-15785,6216,42338,39093,34662,27979,496298,,,,
1993_DELAWARE,DE,1993,104355,683954,44497,443250,196207,694534,394680,207850,26548,47372,-10580,565,8153,8285,8265,5882,105547,,,,
1993_DISTRICT_OF_COLUMBIA,DC,1993,80937,721151,73882,0,647269,719440,339266,302281,39819,38074,1711,5216,6986,5870,4935,3303,80678,,,,
1993_FLORIDA,FL,1993,1980569,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334,-55027,34793,167140,168509,149054,100646,2040763,,,,
1993_GEORGIA,GA,1993,893557,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423,439808,68585,5534,103365,99802,97354,62704,1235304,,,,
1993_HAWAII,HI,1993,177448,1062475,76183,962375,23917,1063090,580597,304362,95700,82431,-615,532,15199,14813,13245,10201,180410,,,,
1993_IDAHO,ID,1993,231632,890835,72747,547454,270634,899819,499914,260805,41238,81359,-8984,1389,17039,18665,19185,15044,236774,,,,
1993_ILLINOIS,IL,1993,1856841,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411,852085,-160071,42359,144758,138827,138518,106519,1893078,,,,
1993_INDIANA,IN,1993,958052,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924,477709,164821,3960,70226,72841,78125,60971,965633,,,,
1993_IOWA,IA,1993,493957,2880731,131444,1299055,1450232,2889377,1522556,818922,114390,196098,-8646,5430,36348,36370,38548,32588,498519,,,,
1993_KANSAS,KS,1993,451469,2386945,123082,1165178,1098685,2522542,1309958,802965,142268,195674,-135597,2432,34575,35975,35902,27644,457614,,,,
1993_KENTUCKY,KY,1993,489281,2381148,216900,1529326,634922,2283431,1247496,711873,151526,127578,97717,15732,43340,48083,51306,37629,655265,,,,
1993_LOUISIANA,LA,1993,795719,3438321,397206,1876967,1164148,3427102,1898515,997974,262609,173012,11219,12857,61133,60077,56522,39826,800560,,,,
1993_MAINE,ME,1993,211511,1368095,77440,652164,638491,1321846,809278,328664,67864,55490,46249,1036,17536,17237,15844,13446,216995,,,,
1993_MARYLAND,MD,1993,751850,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147,324925,19115,17984,60378,61199,55285,40661,772638,,,,
1993_MASSACHUSETTS,MA,1993,862495,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641,59238,442351,13178,76494,69111,62412,51309,877726,,,,
1993_MICHIGAN,MI,1993,1600650,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410,932700,-396784,11704,132658,120049,116702,87447,1599377,,,,
1993_MINNESOTA,MN,1993,781566,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306,512196,-427869,6656,62345,63194,63105,54642,810233,,,,
1993_MISSISSIPPI,MS,1993,329408,1170109,174870,612301,382938,1167032,652571,318799,89766,87575,3077,2197,37622,39236,39815,26156,505907,,,,
1993_MISSOURI,MO,1993,834636,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686,399553,-38244,13950,65679,66445,66371,50195,866378,,,,
1993_MONTANA,MT,1993,158875,813998,74386,445532,294080,833435,446245,261677,64200,49720,-19437,483,12021,12967,12834,10325,163009,,,,
1993_NEBRASKA,NE,1993,281354,1625242,94308,509432,1021502,1642376,972575,424311,57564,141118,-17134,3577,21374,22391,22611,18578,285097,,,,
1993_NEVADA,NV,1993,222846,1148268,52876,753277,342115,1265367,611914,360827,41799,195478,-117099,1237,19179,19305,17825,12749,235800,,,,
1993_NEW_HAMPSHIRE,NH,1993,177722,1109743,34680,84342,990721,1091814,611158,322618,34802,42172,17929,1292,8194,15630,14118,10635,185360,,,,
1993_NEW_JERSEY,NJ,1993,653488,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775,342746,105943,9225,90827,84767,79459,64402,1151307,,,,
1993_NEW_MEXICO,NM,1993,281407,1217194,154018,897725,165451,1223185,587753,427793,62453,128202,-5991,1933,23723,24182,24899,16767,322292,,,,
1993_NEW_YORK,NY,1993,2663637,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895,1625848,-1245529,31687,205238,198259,188274,143055,2733813,,,,
1993_NORTH_CAROLINA,NC,1993,1112636,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822,480317,107992,8469,93406,85989,86093,60856,1133231,,,,
1993_NORTH_DAKOTA,ND,1993,118793,580148,56254,243783,280111,588983,310940,156042,44647,41585,-8835,615,8752,9266,9329,8066,119127,,,,
1993_OHIO,OH,1993,1834239,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400,588386,456353,17210,140778,136317,141534,111932,1807319,,,,
1993_OKLAHOMA,OK,1993,312817,1436505,99809,802783,533913,1428916,726475,457062,113582,113949,7589,5456,44864,48242,46153,34744,604076,,,,
1993_OREGON,OR,1993,509814,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785,209804,-7909,837,37859,41290,39500,32828,516611,,,,
1993_PENNSYLVANIA,PA,1993,1719829,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867,966827,-539645,4181,131842,131575,130209,107244,1744082,,,,
1993_RHODE_ISLAND,RI,1993,138939,919594,46215,351512,521867,901540,588044,268106,11541,12708,18054,465,11348,11603,10650,8094,145676,,,,
1993_SOUTH_CAROLINA,SC,1993,631613,3031112,277419,1419961,1333732,2994038,1592384,820795,269661,221824,37074,7244,45490,50357,50591,33949,643696,,,,
1993_SOUTH_DAKOTA,SD,1993,107050,465650,52787,120851,292012,481665,265549,139963,22308,43632,-16015,612,10574,11086,11427,8936,142825,,,,
1993_TENNESSEE,TN,1993,844668,3268642,334410,1535027,1399205,3286481,1969619,781510,209586,248037,-17839,9542,68462,65646,64124,47668,866557,,,,
1993_TEXAS,TX,1993,3535333,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683,2989512,1692334,120446,268646,284394,274208,178889,3608262,,,,
1993_UTAH,UT,1993,462323,1638305,116791,928596,592918,1665011,881924,410867,128758,207312,-26706,2690,33623,35467,38031,31692,471365,,,,
1993_VERMONT,VT,1993,97454,837540,34179,216778,586583,809853,405876,193543,22698,15655,27687,2024,7766,8457,7496,6227,102755,,,,
1993_VIRGINIA,VA,1993,1032842,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062,488487,-36797,3186,81787,81615,78443,60314,1045471,,,,
1993_WASHINGTON,WA,1993,896197,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224,942214,-520475,5087,68908,73824,70666,55847,915952,,,,
1993_WEST_VIRGINIA,WV,1993,317719,1832154,140913,1220263,470978,1829848,1023497,500010,116349,171484,2306,3981,20077,22349,25677,21507,314383,,,,
1993_WISCONSIN,WI,1993,829085,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368,500029,-282773,17270,61136,63756,64669,53688,844001,,,,
1993_WYOMING,WY,1993,100313,615130,35437,308683,271010,614807,334071,193624,21047,48076,323,,7190,8046,8268,6548,100899,,,,
1994_ALABAMA,AL,1994,730004,2970223,331823,1850894,787506,3103266,1697593,826442,306977,231508,-133043,9051,57723,56773,59165,41730,736531,,,208,
1994_ALASKA,AK,1994,123868,1052282,134168,668229,249885,1116160,516242,446458,36589,98486,-63878,2593,10309,10318,9503,7057,127057,,,,
1994_ARIZONA,AZ,1994,708482,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778,696618,-236793,3540,59545,60032,55334,40119,737424,,,206,
1994_ARKANSAS,AR,1994,312695,1393287,132108,810396,450783,1445984,816270,403608,75434,105349,-52697,1652,35620,34488,36437,27161,447565,,,209,
1994_CALIFORNIA,CA,1994,4120498,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630,1916061,428157,66450,448237,426919,388561,285132,5407475,,,197,
1994_COLORADO,CO,1994,549570,3061865,165539,1269532,1626794,3113755,1574164,977343,95796,328219,-51890,9853,48673,51877,49332,35464,640521,,,213,
1994_CONNECTICUT,CT,1994,479522,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749,53083,136510,7601,43511,40737,35665,28640,506824,,,222,
1994_DELAWARE,DE,1994,103782,705798,50572,447430,207796,732323,413915,217782,30320,50805,-26525,618,7523,8367,8563,5865,106813,,,206,
1994_DISTRICT_OF_COLUMBIA,DC,1994,80678,735720,79432,0,656288,769818,351028,332951,63271,22568,-34098,5508,7628,5783,5031,3203,80450,,,179,
1994_FLORIDA,FL,1994,2039884,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855,1769738,-153123,47993,172135,173297,155852,100720,2111188,,,205,
1994_GEORGIA,GA,1994,1235304,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376,723316,226832,12859,108398,101054,98982,64606,1270948,,,207,
1994_HAWAII,HI,1994,181212,1133949,77993,1025813,30143,1146267,615270,322736,93482,114779,-12318,631,15678,14572,13592,10473,183795,,,201,
1994_IDAHO,ID,1994,236774,949999,77626,576106,296267,974781,538783,273654,44562,99924,-24782,1501,17260,18361,19680,15780,240448,,,,
1994_ILLINOIS,IL,1994,1875956,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271,508619,566095,42938,146314,143030,135134,109360,1916172,,,,
1994_INDIANA,IN,1994,963071,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493,551285,60319,4660,71594,72408,77799,62727,969022,,,220,
1994_IOWA,IA,1994,497925,2987394,139312,1339912,1508170,2974072,1551221,858078,120252,195410,13322,5901,37402,36960,39039,34078,500440,,,223,
1994_KANSAS,KS,1994,457744,2700587,134686,1540727,1025174,2643192,1371720,856673,156331,172340,57395,2640,33445,36488,36757,28811,460838,,,,
1994_KENTUCKY,KY,1994,490069,2491948,238630,1561340,691978,2392549,1310208,761029,145930,126669,99399,17934,44191,48233,50562,39482,657642,,,212,
1994_LOUISIANA,LA,1994,798312,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613,197625,32283,19292,60705,62461,57747,40666,797933,,,197,
1994_MAINE,ME,1994,211731,1357116,77393,609841,669882,1338353,799103,325201,72234,73376,18763,1006,16569,17397,16571,12534,212601,,,228,
1994_MARYLAND,MD,1994,772638,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041,387699,-46178,18834,62341,61982,57222,43223,790938,,,210,
1994_MASSACHUSETTS,MA,1994,877384,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810,282757,19626,13982,77777,71131,64097,51618,893727,,,223,
1994_MICHIGAN,MI,1994,1601845,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226,877390,-261389,4409,136353,123829,117380,88136,1614784,,,,
1994_MINNESOTA,MN,1994,802913,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949,565106,-318658,8060,62908,64605,64607,55982,821693,,,218,
1994_MISSISSIPPI,MS,1994,503374,1911579,296345,1048767,566467,1919812,1072529,515600,148515,159184,-8233,1146,38528,38606,39970,26436,505962,,,202,
1994_MISSOURI,MO,1994,852324,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316,443146,-87205,16002,66607,68457,66025,52654,878541,,,217,
1994_MONTANA,MT,1994,163968,878986,83029,446392,349565,878084,508299,271711,36336,50333,902,483,11820,13009,13229,10681,164341,,,222,
1994_NEBRASKA,NE,1994,283962,1710913,101579,528743,1080591,1769248,1033858,447649,63108,173484,-58335,3985,21752,22144,23037,19144,287100,,,220,
1994_NEVADA,NV,1994,235800,1266549,56664,817216,392669,1344245,654272,406932,44739,184082,-77696,1424,20462,20573,18881,13659,250747,,,,
1994_NEW_HAMPSHIRE,NH,1994,181688,1145147,37805,89556,1017786,1119762,648513,316069,38919,34260,25385,1210,8325,16352,14926,10919,189319,,,223,
1994_NEW_JERSEY,NJ,1994,651554,6957898,293378,3102722,3561798,6765105,3522248,2430560,268715,320715,192793,10283,92316,87374,80901,65662,1174206,,,219,
1994_NEW_MEXICO,NM,1994,286759,1342868,164101,982237,196530,1223759,622138,391385,63549,129528,119109,4174,24055,24294,25443,16925,327248,,,205,
1994_NEW_YORK,NY,1994,2702937,23933662,1442038,9092275,13399349,25359726,14829280,6782725,992378,1717307,-1426064,32227,212239,202024,191181,144139,2766208,,,212,
1994_NORTH_CAROLINA,NC,1994,1131662,5648390,454682,3553217,1640491,5740906,3161072,1629603,362721,490626,-92516,8949,97508,89492,86344,62324,1156767,,,214,
1994_NORTH_DAKOTA,ND,1994,118778,603902,65506,247062,291334,621313,319014,158223,46522,50938,-17411,639,8677,9236,9694,8418,119288,,,225,
1994_OHIO,OH,1994,1816817,10735756,537642,4271944,5926170,10780138,5785984,3675789,472696,658754,-44382,17505,141284,136834,142132,112266,1814290,,,,
1994_OKLAHOMA,OK,1994,316322,1518540,120788,839113,558639,1529205,765718,473061,116301,129800,-10665,5367,46355,47929,47149,35899,609718,,,,
1994_OREGON,OR,1994,518425,3088542,212544,1215471,1660527,3191792,1719357,1068111,110201,223352,-103250,1069,38930,41739,40473,33356,521945,,,,
1994_PENNSYLVANIA,PA,1994,1720681,13271564,686113,5132066,7453385,13701725,7100564,3795048,703486,963256,-430161,3583,132132,135061,132994,109673,1764946,,,215,
1994_RHODE_ISLAND,RI,1994,144918,1012987,48443,385626,578918,994885,642068,300816,14152,14866,18102,469,10701,11549,10747,8440,147487,,,220,
1994_SOUTH_CAROLINA,SC,1994,634415,3179542,285908,1470131,1423503,3156251,1646310,961618,211713,251078,23291,7972,46859,51268,50799,35376,648725,,,203,
1994_SOUTH_DAKOTA,SD,1994,108439,507927,51846,126591,329490,525289,284638,148152,23351,52745,-17362,1244,10618,11116,11604,8925,143482,,,,
1994_TENNESSEE,TN,1994,857014,3535898,341912,1694595,1499391,3661470,2101003,996094,225590,270608,-125572,10831,71413,67339,65598,49401,881425,,,213,
1994_TEXAS,TX,1994,3601627,19713604,1456330,8569649,9687625,19224149,9814470,6093204,936331,1717181,489455,128736,272065,291604,281109,183737,3677171,,,212,
1994_UTAH,UT,1994,469811,1792011,125520,982848,683643,1846448,997141,413388,137271,256177,-54437,3273,33750,34837,37519,33337,474675,,,217,
1994_VERMONT,VT,1994,98377,892124,34989,219927,637208,869710,419793,203059,25011,38902,22414,1903,8040,8396,7826,6458,104533,,,,
1994_VIRGINIA,VA,1994,1044721,6125739,372866,2399644,3353229,6276362,3271356,1883438,314439,587495,-150623,3115,85160,84103,79929,62899,1060809,,,213,
1994_WASHINGTON,WA,1994,915952,5739012,327784,3978265,1432963,5968590,2918426,1741684,252127,840257,-229578,6155,71637,75299,72982,58150,938314,,,213,
1994_WEST_VIRGINIA,WV,1994,313750,1854403,147289,1185501,521613,1843973,1051169,507996,116579,151404,10430,2754,22377,22236,25200,22058,310511,,,213,
1994_WISCONSIN,WI,1994,843747,5682439,238786,2363863,3079790,5860230,3257526,1689034,193556,504767,-177791,18531,61898,65996,65790,57407,860581,,,224,
1994_WYOMING,WY,1994,100899,674921,38849,351472,284600,623146,344562,192234,21161,48647,51775,,6929,7982,8203,6642,100314,,,221,
1995_ALABAMA,AL,1995,727480,3367437,328957,2161366,877114,3353363,1851700,888983,326956,243365,14074,9324,59739,56486,59914,40981,746149,,,,
1995_ALASKA,AK,1995,125421,1117068,123037,710028,284003,1203817,515914,469085,37579,159146,-86749,2419,10567,10222,9573,7111,127618,,,,
1995_ARIZONA,AZ,1995,735018,3815218,376437,1669173,1769608,4056279,1772388,1131046,226507,710135,-241061,4027,61420,60202,56407,39197,743566,,,,
1995_ARKANSAS,AR,1995,447757,2057550,197556,1244457,615537,2155067,1211057,598109,119934,160693,-97517,1525,36731,33955,36696,27083,453257,,,,
1995_CALIFORNIA,CA,1995,5299405,29512214,2612241,15541486,11358487,30097549,16146416,8603751,2181053,2669270,-585335,69182,472334,428553,399039,287428,5536406,,,,
1995_COLORADO,CO,1995,639805,3709875,201341,1577988,1930546,3766191,1896225,1174299,115636,449501,-56316,10472,50316,52783,51180,35480,656279,,,,
1995_CONNECTICUT,CT,1995,489513,4420632,147466,1622686,2650480,4252186,2596475,1245242,137005,91833,168446,8093,44148,41365,37320,28282,517935,,,,
1995_DELAWARE,DE,1995,106813,802018,51682,510473,239863,772669,431433,236288,35495,50074,29349,670,7775,8527,8566,6211,108461,,,,
1995_DISTRICT_OF_COLUMBIA,DC,1995,80450,700111,65527,0,634584,708224,336543,301371,38207,32103,-8113,5387,7736,5852,4749,2972,79802,,,,
1995_FLORIDA,FL,1995,2107514,13242710,938814,6519109,5784787,13473977,6113051,4077880,951023,2070572,-231267,51123,176767,173169,163521,99519,2176222,,,,
1995_GEORGIA,GA,1995,1270948,7052825,458452,3652134,2942239,7292267,3813194,2009750,442434,898969,-239442,22621,111462,103072,100091,63736,1311126,,,,
1995_HAWAII,HI,1995,183869,1173579,82547,1062296,28736,1157159,636952,328579,96922,94706,16420,609,16562,14867,13793,10478,187180,,,,
1995_IDAHO,ID,1995,240448,1083215,80861,665768,336586,1108075,602038,301143,46107,134550,-24860,1665,17750,17640,20129,16093,243097,,,,
1995_ILLINOIS,IL,1995,1897161,12236673,686758,4100518,7449397,11821661,6031588,3778799,457236,1023865,415012,45947,151485,142660,132678,107244,1943623,,,,
1995_INDIANA,IN,1995,966622,6514934,292362,3335998,2886574,6377558,3145120,1760003,290661,643725,137376,4901,73833,72356,78278,62659,977263,,,,
1995_IOWA,IA,1995,498837,3076971,141050,1381253,1554668,3100772,1614502,872640,127943,209808,-23801,5957,37629,36431,38715,34565,502343,,,,
1995_KANSAS,KS,1995,460905,2826943,137424,1613143,1076376,2756682,1407359,881083,162631,177250,70261,3209,33925,36004,36782,28491,463008,,,,
1995_KENTUCKY,KY,1995,639992,3508673,312742,2218928,977003,3415870,1890546,1112902,211275,143259,92803,20290,45038,46834,50091,38797,659821,,,,
1995_LOUISIANA,LA,1995,797061,3791795,449360,1999375,1343060,3735603,2050103,1081590,289366,219314,56192,19440,61323,61315,57918,40663,797366,,,,
1995_MAINE,ME,1995,212154,1446745,78233,652626,715886,1438795,833366,391838,63055,70968,7950,821,16826,17419,16771,12670,213569,,,,
1995_MARYLAND,MD,1995,790938,5580123,270249,2059219,3250655,5610071,3064702,1768323,253194,458731,-29948,19092,63232,62207,58835,42974,805544,,,,
1995_MASSACHUSETTS,MA,1995,893727,7326904,265878,2095327,4965699,6706082,3681274,1840847,217956,259982,620822,14792,79163,71800,65724,51911,915007,,,,
1995_MICHIGAN,MI,1995,1604527,12500208,692600,8053624,3753984,12477806,6162390,3915929,947067,753611,22402,8870,141238,122266,118996,87840,1641456,,,,
1995_MINNESOTA,MN,1995,816695,5744447,235069,2919940,2589438,6155324,3109813,1526879,523268,662497,-410877,8340,63896,64545,65649,57793,835166,,,,
1995_MISSISSIPPI,MS,1995,503301,2118973,310290,1185162,623521,2160068,1189394,569686,164815,204426,-41095,1083,39632,38004,39809,25741,506272,,,,
1995_MISSOURI,MO,1995,862505,4852467,313295,2276277,2262895,4957215,2573557,1449433,262319,526263,-104748,16225,68513,68159,66493,52939,889881,,,,
