Primary_Key,State,Year,Enrollment,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score
2003_COLORADO,CO,2003,751049,6297242,400219,2715219,3181804,6685029,3168745,2149761,236480,821129,-387787,19993,55913,56437,58897,48924,757693,235,283,224,268
2003_CONNECTICUT,CT,2003,548466,6959891,351001,2481901,4126989,6751815,3721466,1951609,252325,539870,208076,11823,42310,43494,45854,37229,577203,241,284,228,267
2003_DELAWARE,DE,2003,111282,1242436,91986,794472,355978,1317447,673997,367660,53399,171247,-75011,642,7904,9097,10222,7292,117668,236,277,224,265
2003_DISTRICT_OF_COLUMBIA,DC,2003,67522,1114061,152599,0,961462,1105963,473414,406078,32193,194278,8098,5168,5659,5920,5158,2971,78057,205,243,188,239
2003_FLORIDA,FL,2003,2536699,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274,2924134,-630307,49588,191986,178109,205443,144764,2587628,234,271,218,257
2003_GEORGIA,GA,2003,1495819,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880,1705482,8024,36486,118849,117201,120694,81381,1522611,230,270,214,258
2003_HAWAII,HI,2003,183829,2078877,170377,1873318,35182,1602392,888473,521929,128941,63049,476485,1175,13779,14538,14543,10627,183609,227,266,208,251
2003_IDAHO,ID,2003,248515,1685984,162530,994022,529432,1726941,924434,510284,69672,185850,-40957,2672,18590,18710,20091,17462,252120,235,280,218,264
2003_ILLINOIS,IL,2003,2062664,19627346,1618724,6792637,11215985,21278177,10409933,6336325,706758,2727980,-1650831,67148,146803,160246,160271,136974,2100961,233,277,216,266
2003_INDIANA,IN,2003,999713,8246076,582940,4569923,3093213,9777720,4785880,2848989,377679,859389,-1531644,5561,72315,77484,81494,63632,1011130,238,281,220,265
2003_IOWA,IA,2003,482210,4374803,304688,1974708,2095407,4517990,2157225,1208401,284796,459042,-143187,6907,35295,34290,38428,36834,481226,238,284,223,268
2003_KANSAS,KS,2003,470264,4068800,311152,2397661,1359987,3818740,2068389,1196089,167265,235653,250060,2446,33677,33799,36602,33819,470490,242,284,220,266
