,State,Year,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region
269,Indiana,1997,7885141.0,7325086.0,560055,5521.0,986836.0,64829.0,,,,,Midwest
270,Iowa,1997,3406582.0,3485339.0,-78757,4757.0,501054.0,36808.0,,,,,Midwest
271,Kansas,1997,3029537.0,2949608.0,79929,5373.0,468687.0,30922.0,,,,,Midwest
272,Kentucky,1997,3842885.0,3903139.0,-60254,22065.0,669322.0,40153.0,,,,,South
273,Louisiana,1997,4106095.0,4027228.0,78867,15442.0,776813.0,41527.0,,,,,South
274,Maine,1997,1537085.0,1527663.0,9422,969.0,212579.0,12820.0,,,,,Northeast
275,Maryland,1997,6040883.0,6217120.0,-176237,19739.0,830744.0,46532.0,,,,,South
276,Massachusetts,1997,7585624.0,7479407.0,106217,18226.0,949006.0,54354.0,,,,,Northeast
277,Michigan,1997,13759710.0,14235902.0,-476192,22468.0,1702717.0,92690.0,,,,,Midwest
278,Minnesota,1997,6304977.0,6890773.0,-585796,8945.0,853621.0,63727.0,,,,,Midwest
279,Mississippi,1997,2274700.0,2319324.0,-44624,1289.0,504792.0,26788.0,,,,,South
280,Missouri,1997,5550134.0,5527705.0,22429,16384.0,910613.0,55673.0,,,,,Midwest
281,Montana,1997,989991.0,972059.0,17932,484.0,162335.0,11301.0,,,,,West
282,Nebraska,1997,1994021.0,1946725.0,47296,4514.0,292681.0,20912.0,,,,,Midwest
283,Nevada,1997,1701290.0,1905940.0,-204650,1902.0,296621.0,15782.0,,,,,West
284,New Hampshire,1997,1339186.0,1431472.0,-92286,1577.0,201629.0,11656.0,,,,,Northeast
285,New Jersey,1997,12910890.0,13242022.0,-331132,10220.0,1250276.0,68008.0,,,,,Northeast
286,New Mexico,1997,1768148.0,1826524.0,-58376,4131.0,331673.0,18080.0,,,,,West
287,New York,1997,26775074.0,28227561.0,-1452487,32086.0,2861823.0,146818.0,,,,,Northeast
288,North Carolina,1997,6827952.0,7007690.0,-179738,8195.0,1236083.0,62552.0,,,,,South
289,North Dakota,1997,683331.0,679692.0,3639,713.0,118572.0,8815.0,,,,,Midwest
290,Ohio,1997,12630491.0,12421963.0,208528,20795.0,1847114.0,120070.0,,,,,Midwest
291,Oklahoma,1997,3413742.0,3390894.0,22848,2494.0,623681.0,37568.0,,,,,South
292,Oregon,1997,3477420.0,3792572.0,-315152,781.0,541346.0,34419.0,,,,,West
293,Pennsylvania,1997,15184431.0,15777276.0,-592845,2979.0,1815151.0,117432.0,,,,,Northeast
294,Rhode Island,1997,1185534.0,1175638.0,9896,629.0,153321.0,8633.0,,,,,Northeast
295,South Carolina,1997,3874045.0,3921465.0,-47420,8699.0,659273.0,36576.0,,,,,South
296,South Dakota,1997,747462.0,711052.0,36410,924.0,142443.0,9939.0,,,,,Midwest
297,Tennessee,1997,4390879.0,4695409.0,-304530,11784.0,893044.0,48881.0,,,,,South
298,Texas,1997,23091567.0,23671010.0,-579443,135616.0,3891877.0,206928.0,,,,,South
299,Utah,1997,2187279.0,2178778.0,8501,3806.0,482957.0,35900.0,,,,,West
300,Vermont,1997,1022546.0,1069297.0,-46751,1222.0,105984.0,6831.0,,,,,Northeast
301,Virginia,1997,7345090.0,7436340.0,-91250,4036.0,1110815.0,66430.0,,,,,South
302,Washington,1997,6667626.0,6792261.0,-124635,6671.0,991235.0,64731.0,,,,,West
303,West Virginia,1997,2053981.0,2018185.0,35796,4838.0,301419.0,21765.0,,,,,South
304,Wisconsin,1997,6724752.0,6990489.0,-265737,19627.0,881780.0,63188.0,,,,,Midwest
305,Wyoming,1997,660079.0,695127.0,-35048,,97115.0,7077.0,,,,,West
306,Alabama,1998,4140537.0,4245033.0,-104496,10341.0,747980.0,43957.0,,,211.0,255.0,South
307,Alaska,1998,1206195.0,1222893.0,-16698,2017.0,135373.0,8403.0,,,,,West
308,Arizona,1998,4675296.0,4726098.0,-50802,5209.0,848262.0,45813.0,,,206.0,260.0,West
309,Arkansas,1998,2567380.0,2536027.0,31353,1390.0,452256.0,29123.0,,,209.0,256.0,South
310,California,1998,39183018.0,38087666.0,1095352,81926.0,5926037.0,334852.0,,,202.0,252.0,West
311,Colorado,1998,4359021.0,4739136.0,-380115,13068.0,699135.0,40076.0,,,220.0,264.0,West
312,Connecticut,1998,5024673.0,4810851.0,213822,10056.0,544698.0,30437.0,,,230.0,270.0,Northeast
313,Delaware,1998,934530.0,915207.0,19323,602.0,113262.0,6770.0,,,207.0,254.0,South
315,Florida,1998,15595671.0,15155383.0,440288,53969.0,2337633.0,112724.0,,,206.0,255.0,South
316,Georgia,1998,9207163.0,8990897.0,216266,30779.0,1401291.0,71127.0,,,209.0,257.0,South
317,Hawaii,1998,1279125.0,1266378.0,12747,674.0,188069.0,10384.0,,,200.0,249.0,West
318,Idaho,1998,1310960.0,1342719.0,-31759,2123.0,244722.0,17255.0,,,,,West
319,Illinois,1998,14688777.0,15207067.0,-518290,59389.0,2011530.0,127506.0,,,,,Midwest
320,Indiana,1998,7656749.0,7649103.0,7646,5557.0,989001.0,64293.0,,,,,Midwest
321,Iowa,1998,3589705.0,3650286.0,-60581,4975.0,498214.0,37166.0,,,220.0,,Midwest
322,Kansas,1998,3207670.0,3087318.0,120352,2595.0,472353.0,31955.0,,,221.0,268.0,Midwest
323,Kentucky,1998,3938009.0,4018512.0,-80503,16864.0,655687.0,39369.0,,,218.0,262.0,South
324,Louisiana,1998,4443468.0,4379797.0,63671,16486.0,768734.0,41479.0,,,200.0,252.0,South
325,Maine,1998,1611926.0,1601411.0,10515,1078.0,211051.0,12996.0,,,225.0,271.0,Northeast
326,Maryland,1998,6521269.0,6519389.0,1880,20013.0,841671.0,49321.0,,,212.0,261.0,South
327,Massachusetts,1998,7726497.0,8098720.0,-372223,18884.0,962317.0,55369.0,,,223.0,269.0,Northeast
328,Michigan,1998,14712250.0,14905765.0,-193515,23782.0,1720287.0,94361.0,,,216.0,,Midwest
329,Minnesota,1998,6672384.0,6815289.0,-142905,9116.0,856455.0,63014.0,,,219.0,265.0,Midwest
330,Mississippi,1998,2400660.0,2543454.0,-142794,1548.0,502379.0,26452.0,,,203.0,251.0,South
331,Missouri,1998,5990499.0,5849648.0,140851,16584.0,913494.0,56165.0,,,216.0,262.0,Midwest
332,Montana,1998,1035636.0,1007146.0,28490,515.0,159988.0,11611.0,,,225.0,271.0,West
333,Nebraska,1998,2062836.0,1966403.0,96433,4595.0,291140.0,21517.0,,,,,Midwest
334,Nevada,1998,1906860.0,2030065.0,-123205,2140.0,311061.0,16824.0,,,206.0,258.0,West
335,New Hampshire,1998,1420100.0,1428447.0,-8347,1586.0,204713.0,12148.0,,,226.0,,Northeast
336,New Jersey,1998,13786951.0,13973201.0,-186250,10560.0,1268996.0,68618.0,,,,,Northeast
337,New Mexico,1998,1913783.0,1933538.0,-19755,2932.0,328753.0,18724.0,,,205.0,258.0,West
338,New York,1998,27900803.0,29853891.0,-1953088,38196.0,2877143.0,148315.0,,,215.0,265.0,Northeast
339,North Carolina,1998,7516979.0,7688076.0,-171097,7610.0,1254821.0,63476.0,,,213.0,262.0,South
340,North Dakota,1998,731384.0,715126.0,16258,671.0,114927.0,9082.0,,,,,Midwest
341,Ohio,1998,13577343.0,13005301.0,572042,22373.0,1842163.0,120670.0,,,,,Midwest
342,Oklahoma,1998,3559980.0,3617938.0,-57958,16787.0,628492.0,38769.0,,,219.0,265.0,South
343,Oregon,1998,3892091.0,3939722.0,-47631,547.0,542809.0,35079.0,,,212.0,266.0,West
344,Pennsylvania,1998,15671363.0,16432921.0,-761558,2712.0,1816414.0,118850.0,,,,,Northeast
345,Rhode Island,1998,1255280.0,1221558.0,33722,811.0,154785.0,8727.0,,,218.0,264.0,Northeast
346,South Carolina,1998,4109130.0,4241163.0,-132033,9188.0,664600.0,36637.0,,,209.0,255.0,South
347,South Dakota,1998,793101.0,781279.0,11822,654.0,132495.0,9521.0,,,,,Midwest
348,Tennessee,1998,4757639.0,4988208.0,-230569,12518.0,905454.0,49440.0,,,212.0,258.0,South
349,Texas,1998,24485263.0,25723965.0,-1238702,136945.0,3945367.0,212503.0,,,214.0,261.0,South
350,Utah,1998,2295870.0,2326611.0,-30741,4115.0,481176.0,35706.0,,,216.0,263.0,West
351,Vermont,1998,1089658.0,1064388.0,25270,2377.0,105120.0,6823.0,,,,,Northeast
352,Virginia,1998,7723744.0,7813707.0,-89963,5161.0,1124022.0,67787.0,,,217.0,266.0,South
353,Washington,1998,6928738.0,7211601.0,-282863,5901.0,998053.0,65782.0,,,218.0,264.0,West
354,West Virginia,1998,2178936.0,2100841.0,78095,5822.0,297530.0,21344.0,,,216.0,262.0,South
355,Wisconsin,1998,7083655.0,7532110.0,-448455,20131.0,879542.0,63760.0,,,222.0,265.0,Midwest
356,Wyoming,1998,703280.0,706801.0,-3521,,95241.0,7057.0,,,218.0,263.0,West
357,Alabama,1999,4471546.0,4622810.0,-151264,10548.0,740732.0,42576.0,,,,,South
358,Alaska,1999,1243227.0,1289988.0,-46761,1344.0,134391.0,8381.0,,,,,West
359,Arizona,1999,5085826.0,5072471.0,13355,1772.0,852612.0,47907.0,,,,,West
360,Arkansas,1999,2684966.0,2650808.0,34158,1425.0,451034.0,29316.0,,,,,South
361,California,1999,41393435.0,40834643.0,558792,85992.0,6038590.0,347914.0,,,,,West
362,Colorado,1999,4740254.0,5040224.0,-299970,12857.0,708109.0,41999.0,,,,,West
363,Connecticut,1999,5460213.0,5269517.0,190696,10518.0,553993.0,31670.0,,,,,Northeast
364,Delaware,1999,1004472.0,960335.0,44137,716.0,112836.0,6490.0,,,,,South
366,Florida,1999,17093036.0,16156822.0,936214,53783.0,2381396.0,116259.0,,,,,South
367,Georgia,1999,10380164.0,10106670.0,273494,31359.0,1422762.0,72351.0,,,,,South
368,Hawaii,1999,1328572.0,1357649.0,-29077,824.0,185860.0,10818.0,,,,,West
369,Idaho,1999,1405250.0,1409367.0,-4117,2158.0,245136.0,17811.0,,,,,West
370,Illinois,1999,16208970.0,16783840.0,-574870,58604.0,2027600.0,126984.0,,,,,Midwest
371,Indiana,1999,8167164.0,8196714.0,-29550,4997.0,988702.0,64647.0,,,,,Midwest
372,Iowa,1999,3740509.0,3789049.0,-48540,5497.0,497301.0,37124.0,,,,,Midwest
373,Kansas,1999,3390596.0,3189867.0,200729,2811.0,472188.0,32344.0,,,,,Midwest
374,Kentucky,1999,4188131.0,4305678.0,-117547,15609.0,648180.0,39111.0,,,,,South
375,Louisiana,1999,4641847.0,4702496.0,-60649,16818.0,756579.0,42344.0,,,,,South
376,Maine,1999,1708133.0,1699835.0,8298,1101.0,209253.0,13022.0,,,,,Northeast
377,Maryland,1999,6850334.0,6892276.0,-41942,19285.0,846582.0,50632.0,,,,,South
378,Massachusetts,1999,8388120.0,8673439.0,-285319,19539.0,971425.0,56440.0,,,,,Northeast
379,Michigan,1999,15248112.0,15837858.0,-589746,24574.0,1725639.0,96303.0,,,,,Midwest
380,Minnesota,1999,6949149.0,7450965.0,-501816,9234.0,854034.0,67044.0,,,,,Midwest
381,Mississippi,1999,2532681.0,2811852.0,-279171,1549.0,500716.0,26500.0,,,,,South
382,Missouri,1999,6238901.0,6228001.0,10900,18181.0,914110.0,56213.0,,,,,Midwest
383,Montana,1999,1049369.0,1026263.0,23106,498.0,157556.0,11571.0,,,,,West
384,Nebraska,1999,2212104.0,2062226.0,149878,4631.0,288261.0,21630.0,,,,,Midwest
385,Nevada,1999,2089048.0,2298474.0,-209426,2043.0,325610.0,18139.0,,,,,West
386,New Hampshire,1999,1498286.0,1491560.0,6726,1711.0,206783.0,12734.0,,,,,Northeast
387,New Jersey,1999,14977501.0,14927302.0,50199,14194.0,1289256.0,69647.0,,,,,Northeast
388,New Mexico,1999,2068337.0,2098998.0,-30661,3127.0,324495.0,18941.0,,,,,West
389,New York,1999,30215370.0,31841870.0,-1626500,37613.0,2887776.0,150444.0,,,,,Northeast
390,North Carolina,1999,8476795.0,8674393.0,-197598,8515.0,1275925.0,65558.0,,,,,South
391,North Dakota,1999,770094.0,756337.0,13757,647.0,112751.0,9306.0,,,,,Midwest
392,Ohio,1999,14507056.0,13865260.0,641796,23239.0,1836554.0,120885.0,,,,,Midwest
393,Oklahoma,1999,3788901.0,3817848.0,-28947,20894.0,627032.0,40024.0,,,,,South
394,Oregon,1999,4080653.0,4172435.0,-91782,611.0,545033.0,36827.0,,,,,West
395,Pennsylvania,1999,16361921.0,17113809.0,-751888,2620.0,1816716.0,121152.0,,,,,Northeast
396,Rhode Island,1999,1358566.0,1289045.0,69521,1047.0,156454.0,9138.0,,,,,Northeast
397,South Carolina,1999,4365352.0,4610436.0,-245084,16330.0,666780.0,36471.0,,,,,South
398,South Dakota,1999,825851.0,838078.0,-12227,1139.0,131037.0,9693.0,,,,,Midwest
399,Tennessee,1999,5059587.0,5446555.0,-386968,13047.0,916202.0,53160.0,,,,,South
400,Texas,1999,26096023.0,27883593.0,-1787570,138235.0,3991783.0,217670.0,,,,,South
401,Utah,1999,2425600.0,2448591.0,-22991,4281.0,480255.0,36594.0,,,,,West
402,Vermont,1999,1147600.0,1129982.0,17618,2491.0,104559.0,7014.0,,,,,Northeast
403,Virginia,1999,8331336.0,8335873.0,-4537,5293.0,1133994.0,69333.0,,,,,South
404,Washington,1999,7288143.0,7489129.0,-200986,6134.0,1003714.0,68486.0,,,,,West
405,West Virginia,1999,2190420.0,2169432.0,20988,6176.0,291811.0,20982.0,,,,,South
406,Wisconsin,1999,7415243.0,7875805.0,-460562,20790.0,877753.0,64076.0,,,,,Midwest
407,Wyoming,1999,780875.0,739019.0,41856,,92105.0,7049.0,,,,,West
408,Alabama,2000,4885917.0,5003267.0,-117350,10836.0,739992.0,42512.0,217.0,264.0,,,South
409,Alaska,2000,1313510.0,1386904.0,-73394,1210.0,133356.0,8335.0,,,,,West
410,Arizona,2000,5479168.0,5397194.0,81974,2037.0,877696.0,49501.0,219.0,269.0,,,West
411,Arkansas,2000,2844855.0,2683400.0,161455,2001.0,449959.0,28918.0,216.0,257.0,,,South
412,California,2000,46628207.0,45829753.0,798454,89919.0,6140814.0,357789.0,213.0,260.0,,,West
413,Colorado,2000,5073266.0,5444193.0,-370927,15377.0,724508.0,43502.0,,,,,West
414,Connecticut,2000,5884078.0,5605280.0,278798,10484.0,562179.0,32591.0,234.0,281.0,,,Northeast
415,Delaware,2000,1098555.0,1040480.0,58075,706.0,114676.0,7104.0,,,,,South
417,Florida,2000,17558787.0,17180954.0,377833,55120.0,2434821.0,119809.0,,,,,South
418,Georgia,2000,11197766.0,10884510.0,313256,32248.0,1444937.0,72317.0,219.0,265.0,,,South
419,Hawaii,2000,1404895.0,1363511.0,41384,840.0,184360.0,10408.0,216.0,262.0,,,West
420,Idaho,2000,1452222.0,1467977.0,-15755,2174.0,245117.0,17371.0,224.0,277.0,,,West
421,Illinois,2000,17595047.0,18073190.0,-478143,60712.0,2048792.0,124760.0,223.0,275.0,,,Midwest
422,Indiana,2000,8489991.0,8518477.0,-28486,5567.0,989267.0,63504.0,233.0,281.0,,,Midwest
423,Iowa,2000,3822452.0,3974813.0,-152361,5797.0,495080.0,36892.0,231.0,,,,Midwest
424,Kansas,2000,3518271.0,3327090.0,191181,2263.0,470610.0,33085.0,232.0,283.0,,,Midwest
425,Kentucky,2000,4330089.0,4510972.0,-180883,15892.0,665850.0,39879.0,219.0,270.0,,,South
426,Louisiana,2000,4785331.0,4807097.0,-21766,16210.0,743089.0,41836.0,218.0,259.0,,,South
427,Maine,2000,1792390.0,1842276.0,-49886,1062.0,207037.0,13341.0,230.0,281.0,,,Northeast
428,Maryland,2000,7419047.0,7355698.0,63349,20031.0,852920.0,50962.0,222.0,272.0,,,South
429,Massachusetts,2000,9464271.0,9466363.0,-2092,19938.0,975150.0,58322.0,233.0,279.0,,,Northeast
430,Michigan,2000,15939477.0,16580526.0,-641049,15318.0,1720626.0,101900.0,229.0,277.0,,,Midwest
431,Minnesota,2000,7344747.0,7736391.0,-391644,9300.0,854340.0,67573.0,234.0,287.0,,,Midwest
432,Mississippi,2000,2743284.0,2996474.0,-253190,1682.0,497871.0,26291.0,211.0,254.0,,,South
433,Missouri,2000,6675260.0,6708608.0,-33348,17980.0,912744.0,58103.0,228.0,271.0,,,Midwest
434,Montana,2000,1104935.0,1051768.0,53167,537.0,154875.0,11371.0,228.0,285.0,,,West
435,Nebraska,2000,2263952.0,2165529.0,98423,4900.0,286199.0,21151.0,225.0,280.0,,,Midwest
436,Nevada,2000,2252416.0,2437438.0,-185022,1888.0,340706.0,18519.0,220.0,265.0,,,West
437,New Hampshire,2000,1586869.0,1640395.0,-53526,1879.0,208461.0,13024.0,,,,,Northeast
438,New Jersey,2000,15651060.0,15907248.0,-256188,15183.0,1313405.0,70455.0,,,,,Northeast
439,New Mexico,2000,2191695.0,2165031.0,26664,3090.0,320306.0,19102.0,213.0,259.0,,,West
440,New York,2000,31906526.0,33683043.0,-1776517,39062.0,2882188.0,151043.0,225.0,271.0,,,Northeast
441,North Carolina,2000,9064700.0,9275837.0,-211137,8722.0,1293638.0,66831.0,230.0,276.0,,,South
442,North Dakota,2000,812982.0,802768.0,10214,701.0,109201.0,9072.0,230.0,282.0,,,Midwest
443,Ohio,2000,15327834.0,14909952.0,417882,22988.0,1835049.0,119704.0,230.0,281.0,,,Midwest
444,Oklahoma,2000,3906833.0,3876871.0,29962,23475.0,623110.0,39409.0,224.0,270.0,,,South
445,Oregon,2000,4369400.0,4398318.0,-28918,686.0,546231.0,37055.0,224.0,280.0,,,West
446,Pennsylvania,2000,17090654.0,17861852.0,-771198,2479.0,1814311.0,122048.0,,,,,Northeast
447,Rhode Island,2000,1464820.0,1388454.0,76366,1055.0,157347.0,9184.0,224.0,269.0,,,Northeast
448,South Carolina,2000,4690418.0,4961392.0,-270974,17340.0,677411.0,33911.0,220.0,265.0,,,South
449,South Dakota,2000,868161.0,898609.0,-30448,967.0,128603.0,9354.0,,,,,Midwest
450,Tennessee,2000,5338531.0,5805181.0,-466650,13312.0,909161.0,48802.0,220.0,262.0,,,South
451,Texas,2000,28918934.0,31067935.0,-2149001,145771.0,4059619.0,219943.0,231.0,273.0,,,South
452,Utah,2000,2546642.0,2478420.0,68222,6216.0,481485.0,35484.0,227.0,274.0,,,West
453,Vermont,2000,1211370.0,1193813.0,17557,2371.0,102049.0,7232.0,232.0,281.0,,,Northeast
454,Virginia,2000,8911426.0,9154676.0,-243250,7263.0,1144915.0,70337.0,230.0,275.0,,,South
455,Washington,2000,7620930.0,7811937.0,-191007,7283.0,1004770.0,68580.0,,,,,West
456,West Virginia,2000,2243151.0,2243563.0,-412,6152.0,286367.0,19716.0,223.0,266.0,,,South
457,Wisconsin,2000,7848352.0,8183251.0,-334899,23751.0,879476.0,65195.0,,,,,Midwest
458,Wyoming,2000,787323.0,769923.0,17400,,89940.0,6881.0,229.0,276.0,,,West
459,Alabama,2001,4832946.0,5086045.0,-253099,11841.0,737190.0,42909.0,,,,,South
460,Alaska,2001,1325498.0,1402839.0,-77341,1253.0,134358.0,8340.0,,,,,West
461,Arizona,2001,5916342.0,5858385.0,57957,6624.0,922180.0,52162.0,,,,,West
462,Arkansas,2001,2974588.0,2951677.0,22911,1623.0,449805.0,28849.0,,,,,South
463,California,2001,53288943.0,52082540.0,1206403,100351.0,6247726.0,365907.0,,,,,West
464,Colorado,2001,5372784.0,5727966.0,-355182,19516.0,742145.0,44912.0,,,,,West
465,Connecticut,2001,6331569.0,5987680.0,343889,11050.0,570228.0,34301.0,,,,,Northeast
466,Delaware,2001,1153831.0,1175717.0,-21886,586.0,115560.0,7028.0,,,,,South
468,Florida,2001,18467090.0,18389394.0,77696,57038.0,2500478.0,130613.0,,,,,South
469,Georgia,2001,12271962.0,11853800.0,418162,33310.0,1470634.0,75814.0,,,,,South
470,Hawaii,2001,1682332.0,1363164.0,319168,917.0,184546.0,10632.0,,,,,West
471,Idaho,2001,1571348.0,1535485.0,35863,2341.0,246521.0,17628.0,,,,,West
472,Illinois,2001,18534372.0,19337580.0,-803208,57550.0,2071391.0,131411.0,,,,,Midwest
473,Indiana,2001,9124748.0,8991877.0,132871,6147.0,996133.0,62913.0,,,,,Midwest
474,Iowa,2001,4068110.0,4211493.0,-143383,5714.0,485932.0,36469.0,,,,,Midwest
475,Kansas,2001,3681845.0,3491029.0,190816,2032.0,470205.0,33221.0,,,,,Midwest
476,Kentucky,2001,4536133.0,4350588.0,185545,32407.0,654363.0,37160.0,,,,,South
477,Louisiana,2001,4982369.0,4939894.0,42475,17199.0,731328.0,41611.0,,,,,South
478,Maine,2001,1914551.0,1958646.0,-44095,1333.0,205586.0,13410.0,,,,,Northeast
479,Maryland,2001,7864290.0,7981362.0,-117072,20314.0,860640.0,52671.0,,,,,South
480,Massachusetts,2001,10613329.0,10572138.0,41191,20666.0,973140.0,59453.0,,,,,Northeast
481,Michigan,2001,16772419.0,17573761.0,-801342,16562.0,1730668.0,103839.0,,,,,Midwest
482,Minnesota,2001,7836617.0,8221636.0,-385019,9671.0,851384.0,68997.0,,,,,Midwest
483,Mississippi,2001,2823151.0,2930393.0,-107242,1805.0,493507.0,25816.0,,,,,South
484,Missouri,2001,7081783.0,7100685.0,-18902,18515.0,909792.0,57727.0,,,,,Midwest
485,Montana,2001,1139959.0,1129098.0,10861,506.0,151947.0,11307.0,,,,,West
486,Nebraska,2001,2355374.0,2344564.0,10810,5064.0,285095.0,21679.0,,,,,Midwest
487,Nevada,2001,2381897.0,2692840.0,-310943,2147.0,356814.0,19461.0,,,,,West
488,New Hampshire,2001,1757828.0,1796043.0,-38215,1830.0,206847.0,13309.0,,,,,Northeast
489,New Jersey,2001,16854895.0,17144456.0,-289561,19751.0,1341656.0,76271.0,,,,,Northeast
490,New Mexico,2001,2373143.0,2315182.0,57961,3499.0,320260.0,18658.0,,,,,West
491,New York,2001,34373567.0,38062603.0,-3689036,40212.0,2872132.0,153505.0,,,,,Northeast
492,North Carolina,2001,9670620.0,9807815.0,-137195,9320.0,1315363.0,69602.0,,,,,South
493,North Dakota,2001,818139.0,814838.0,3301,721.0,106047.0,8661.0,,,,,Midwest
494,Ohio,2001,16693845.0,16282257.0,411588,23856.0,1830985.0,117683.0,,,,,Midwest
495,Oklahoma,2001,4257128.0,4288405.0,-31277,25707.0,622139.0,38638.0,,,,,South
496,Oregon,2001,4561948.0,4715944.0,-153996,462.0,551480.0,38379.0,,,,,West
497,Pennsylvania,2001,17792997.0,18666522.0,-873525,2537.0,1821627.0,122942.0,,,,,Northeast
498,Rhode Island,2001,1592622.0,1504125.0,88497,1229.0,158046.0,9507.0,,,,,Northeast
499,South Carolina,2001,5437615.0,5492539.0,-54924,18510.0,676198.0,35835.0,,,,,South
500,South Dakota,2001,886661.0,950595.0,-63934,1176.0,127542.0,9454.0,,,,,Midwest
501,Tennessee,2001,5560822.0,6165661.0,-604839,14856.0,924899.0,51278.0,,,,,South
502,Texas,2001,30868844.0,33201450.0,-2332606,170101.0,4163447.0,226429.0,,,,,South
503,Utah,2001,2741771.0,2669621.0,72150,6883.0,484677.0,34951.0,,,,,West
504,Vermont,2001,1300273.0,1306513.0,-6240,2567.0,101179.0,7422.0,,,,,Northeast
505,Virginia,2001,9493862.0,9862715.0,-368853,14137.0,1163091.0,70607.0,,,,,South
506,Washington,2001,7936037.0,8026334.0,-90297,8102.0,1009200.0,69536.0,,,,,West
507,West Virginia,2001,2321731.0,2310098.0,11633,6770.0,282885.0,18336.0,,,,,South
508,Wisconsin,2001,8363904.0,8574804.0,-210900,24673.0,879361.0,65946.0,,,,,Midwest
509,Wyoming,2001,804297.0,787949.0,16348,,88128.0,6855.0,,,,,West
510,Alabama,2002,5128559.0,5147821.0,-19262,9715.0,739366.0,45521.0,,,207.0,253.0,South
511,Alaska,2002,1377767.0,1523327.0,-145560,1391.0,134364.0,8810.0,,,,,West
512,Arizona,2002,6192222.0,6018188.0,174034,7533.0,937755.0,60820.0,,,205.0,257.0,West
513,Arkansas,2002,3147921.0,3087453.0,60468,1938.0,450985.0,29277.0,,,213.0,260.0,South
514,California,2002,54727056.0,56464225.0,-1737169,109264.0,6353667.0,385181.0,,,206.0,250.0,West
515,Colorado,2002,5849588.0,6237142.0,-387554,20368.0,751862.0,46790.0,,,,,West
516,Connecticut,2002,6644334.0,6475918.0,168416,11150.0,570023.0,36059.0,,,229.0,267.0,Northeast
517,Delaware,2002,1180255.0,1246284.0,-66029,665.0,116342.0,7178.0,,,224.0,267.0,South
519,Florida,2002,18541689.0,19051049.0,-509360,51222.0,2539929.0,137939.0,,,214.0,261.0,South
520,Georgia,2002,13042229.0,12690343.0,351886,34745.0,1496012.0,78455.0,,,215.0,258.0,South
521,Hawaii,2002,1889600.0,1436637.0,452963,1031.0,183829.0,10401.0,,,208.0,252.0,West
522,Idaho,2002,1625444.0,1666027.0,-40583,2517.0,248604.0,17484.0,,,220.0,266.0,West
523,Illinois,2002,19084554.0,20563001.0,-1478447,60524.0,2084187.0,135937.0,,,,,Midwest
524,Indiana,2002,9273957.0,9353054.0,-79097,5407.0,1003875.0,64156.0,,,222.0,265.0,Midwest
525,Iowa,2002,4191217.0,4418238.0,-227021,5949.0,482210.0,36728.0,,,223.0,,Midwest
526,Kansas,2002,3823261.0,3690815.0,132446,2259.0,470957.0,33829.0,,,222.0,269.0,Midwest
527,Kentucky,2002,4621025.0,4541670.0,79355,31888.0,660782.0,38902.0,,,219.0,265.0,South
528,Louisiana,2002,5229238.0,5298267.0,-69029,21858.0,730464.0,42385.0,,,207.0,256.0,South
529,Maine,2002,2041986.0,2057022.0,-15036,1525.0,204337.0,13998.0,,,225.0,270.0,Northeast
530,Maryland,2002,8430663.0,8568446.0,-137783,20569.0,866743.0,54764.0,,,217.0,263.0,South
531,Massachusetts,2002,11217085.0,11507438.0,-290353,22803.0,982989.0,60916.0,,,234.0,271.0,Northeast
532,Michigan,2002,18055855.0,18881772.0,-825917,24751.0,1785160.0,110713.0,,,219.0,265.0,Midwest
533,Minnesota,2002,8065042.0,8716123.0,-651081,10037.0,846891.0,72299.0,,,225.0,,Midwest
534,Mississippi,2002,3029559.0,3026111.0,3448,1975.0,492645.0,26029.0,,,203.0,255.0,South
535,Missouri,2002,7455539.0,7636924.0,-181385,10668.0,906499.0,60920.0,,,220.0,268.0,Midwest
536,Montana,2002,1168799.0,1163960.0,4839,665.0,149995.0,11433.0,,,224.0,270.0,West
537,Nebraska,2002,2528312.0,2562812.0,-34500,5491.0,285402.0,21932.0,,,222.0,270.0,Midwest
538,Nevada,2002,2592064.0,2913023.0,-320959,2480.0,369498.0,18032.0,,,209.0,251.0,West
539,New Hampshire,2002,1887115.0,1956047.0,-68932,1923.0,207671.0,14280.0,,,,,Northeast
540,New Jersey,2002,18071365.0,18155147.0,-83782,21590.0,1367438.0,82008.0,,,,,Northeast
541,New Mexico,2002,2537261.0,2542682.0,-5421,3529.0,320234.0,19002.0,,,208.0,254.0,West
542,New York,2002,35748163.0,39585780.0,-3837617,41752.0,2888233.0,158474.0,,,222.0,264.0,Northeast
543,North Carolina,2002,9701231.0,9882399.0,-181168,10310.0,1335954.0,73450.0,,,222.0,265.0,South
544,North Dakota,2002,846759.0,838666.0,8093,773.0,104225.0,8665.0,,,224.0,268.0,Midwest
545,Ohio,2002,17589983.0,17608944.0,-18961,24990.0,1838285.0,125057.0,,,222.0,268.0,Midwest
546,Oklahoma,2002,4370415.0,4467944.0,-97529,28120.0,624548.0,38443.0,,,213.0,262.0,South
547,Oregon,2002,4772603.0,4980466.0,-207863,429.0,554071.0,39799.0,,,220.0,268.0,West
