,State,Year,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region
58,Delaware,1993,683954.0,694534.0,-10580,565.0,105547.0,5882.0,,,,,South
60,Florida,1993,11370156.0,11425183.0,-55027,34793.0,2040763.0,100646.0,,,,,South
61,Georgia,1993,4716559.0,4647974.0,68585,5534.0,1235304.0,62704.0,,,,,South
62,Hawaii,1993,1062475.0,1063090.0,-615,532.0,180410.0,10201.0,,,,,West
63,Idaho,1993,890835.0,899819.0,-8984,1389.0,236774.0,15044.0,,,,,West
64,Illinois,1993,10584624.0,10744695.0,-160071,42359.0,1893078.0,106519.0,,,,,Midwest
65,Indiana,1993,5833420.0,5668599.0,164821,3960.0,965633.0,60971.0,,,,,Midwest
66,Iowa,1993,2880731.0,2889377.0,-8646,5430.0,498519.0,32588.0,,,,,Midwest
67,Kansas,1993,2386945.0,2522542.0,-135597,2432.0,457614.0,27644.0,,,,,Midwest
68,Kentucky,1993,2381148.0,2283431.0,97717,15732.0,655265.0,37629.0,,,,,South
69,Louisiana,1993,3438321.0,3427102.0,11219,12857.0,800560.0,39826.0,,,,,South
70,Maine,1993,1368095.0,1321846.0,46249,1036.0,216995.0,13446.0,,,,,Northeast
71,Maryland,1993,4918010.0,4898895.0,19115,17984.0,772638.0,40661.0,,,,,South
72,Massachusetts,1993,6121612.0,5679261.0,442351,13178.0,877726.0,51309.0,,,,,Northeast
73,Michigan,1993,11034174.0,11430958.0,-396784,11704.0,1599377.0,87447.0,,,,,Midwest
74,Minnesota,1993,4862635.0,5290504.0,-427869,6656.0,810233.0,54642.0,,,,,Midwest
75,Mississippi,1993,1170109.0,1167032.0,3077,2197.0,505907.0,26156.0,,,,,South
76,Missouri,1993,4196601.0,4234845.0,-38244,13950.0,866378.0,50195.0,,,,,Midwest
77,Montana,1993,813998.0,833435.0,-19437,483.0,163009.0,10325.0,,,,,West
78,Nebraska,1993,1625242.0,1642376.0,-17134,3577.0,285097.0,18578.0,,,,,Midwest
79,Nevada,1993,1148268.0,1265367.0,-117099,1237.0,235800.0,12749.0,,,,,West
80,New Hampshire,1993,1109743.0,1091814.0,17929,1292.0,185360.0,10635.0,,,,,Northeast
81,New Jersey,1993,6747567.0,6641624.0,105943,9225.0,1151307.0,64402.0,,,,,Northeast
82,New Mexico,1993,1217194.0,1223185.0,-5991,1933.0,322292.0,16767.0,,,,,West
83,New York,1993,22688753.0,23934282.0,-1245529,31687.0,2733813.0,143055.0,,,,,Northeast
84,North Carolina,1993,5583166.0,5475174.0,107992,8469.0,1133231.0,60856.0,,,,,South
85,North Dakota,1993,580148.0,588983.0,-8835,615.0,119127.0,8066.0,,,,,Midwest
86,Ohio,1993,10841606.0,10385253.0,456353,17210.0,1807319.0,111932.0,,,,,Midwest
87,Oklahoma,1993,1436505.0,1428916.0,7589,5456.0,604076.0,34744.0,,,,,South
88,Oregon,1993,3141217.0,3149126.0,-7909,837.0,516611.0,32828.0,,,,,West
89,Pennsylvania,1993,12269422.0,12809067.0,-539645,4181.0,1744082.0,107244.0,,,,,Northeast
