,Primary_Key,State,Year,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region,,,
189,1995_OKLAHOMA,Oklahoma,1995,3156526,274027,1804537,1077962,3180275,1623941,921572,291242,295180,-23749,5470,48635,47407,49012,35733,616393,,,,,South,,,
190,1995_OREGON,Oregon,1995,3302062,224156,1521849,1556057,3255984,1789292,1060444,112701,213860,46078,855,39875,41721,42141,33202,527914,,,,,West,,,
191,1995_PENNSYLVANIA,Pennsylvania,1995,13957035,714271,5401558,7841206,14135826,7562476,3908949,550426,963078,-178791,3502,134584,137850,136069,111050,1787533,,,,,Northeast,,,
192,1995_RHODE_ISLAND,Rhode Island,1995,1089859,55060,434056,600743,1056716,677240,308559,27613,18871,33143,531,10947,11596,11032,8263,149799,,,,,Northeast,,,
193,1995_SOUTH_CAROLINA,South Carolina,1995,3389646,288860,1550416,1550370,3286673,1707358,998972,232372,262152,102973,8067,39964,50860,51308,34800,645586,,,,,South,,,
194,1995_SOUTH_DAKOTA,South Dakota,1995,684882,65762,179725,439395,693964,380309,199942,30140,68754,-9082,1475,10609,10937,11654,9116,144685,,,,,Midwest,,,
195,1995_TENNESSEE,Tennessee,1995,3870164,332765,1855788,1681611,3958973,2245634,1020793,221723,394695,-88809,11168,73962,67705,66513,49319,893770,,,,,South,,,
196,1995_TEXAS,Texas,1995,20483376,1496378,8718907,10268091,20198924,10652067,5778548,1087321,2104954,284452,133754,281708,292191,284875,186229,3748167,,,,,South,,,
197,1995_UTAH,Utah,1995,1953833,134118,1055987,763728,2045331,1069735,435270,143824,348647,-91498,3455,34645,34598,38090,32006,477121,,,,,West,,,
198,1995_VERMONT,Vermont,1995,934916,33672,224946,676298,891398,415719,208906,24883,36040,43518,1111,7953,8287,8006,6507,105565,,,,,Northeast,,,
199,1995_VIRGINIA,Virginia,1995,6354418,368088,2522258,3464072,6590998,3452911,1959389,337469,602745,-236580,3111,87618,82797,81254,62204,1079854,,,,,South,,,
200,1995_WASHINGTON,Washington,1995,5985425,345792,4091373,1548260,6200754,3078586,1833862,265076,785601,-215329,5984,73581,75186,75052,59612,956572,,,,,West,,,
201,1995_WEST_VIRGINIA,West Virginia,1995,1916605,155738,1210730,550137,1925100,1104307,540560,128462,134365,-8495,3499,22577,22178,25089,21844,307112,,,,,South,,,
202,1995_WISCONSIN,Wisconsin,1995,6006745,248319,2621263,3137163,6056854,3425341,1767790,204052,426714,-50109,18045,62859,65427,65788,57791,870175,,,,,Midwest,,,
203,1995_WYOMING,Wyoming,1995,634237,42456,303913,287868,642935,357039,198669,21975,48915,-8698,,7135,7577,8302,6679,99859,,,,,West,,,
204,1996_ALABAMA,Alabama,1996,3365113,334858,2138717,891538,3572283,1987018,935115,322883,286699,-207170,9633,60949,57098,58305,42510,747932,,,,,South,,,
205,1996_ALASKA,Alaska,1996,1120346,123505,706116,290725,1240031,636959,365085,38996,179297,-119685,2186,10451,10055,9627,7370,129919,,,,,West,,,
206,1996_ARIZONA,Arizona,1996,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650,877190,-248251,4495,64613,62793,60514,42041,799250,,,,,West,,,
207,1996_ARKANSAS,Arkansas,1996,2183384,192152,1296247,694985,2297381,1264275,636106,127007,203555,-113997,1980,36442,33855,37064,27613,457349,,,,,South,,,
208,1996_CALIFORNIA,California,1996,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407,2580639,-278711,73233,469965,435217,406456,298669,5686198,,,,,West,,,
209,1996_COLORADO,Colorado,1996,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767,588209,-183962,12520,50707,52524,52269,37179,673438,,,,,West,,,
210,1996_CONNECTICUT,Connecticut,1996,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792,149327,147791,9147,43213,41969,37991,28882,527129,,,,,Northeast,,,
211,1996_DELAWARE,Delaware,1996,860410,48796,567123,244491,823530,447461,245924,34748,72077,36880,597,8002,8329,8820,6447,110549,,,,,South,,,
213,1996_FLORIDA,Florida,1996,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115,2042385,-251783,53979,176512,175240,169657,105469,2242212,,,,,South,,,
214,1996_GEORGIA,Georgia,1996,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934,1042930,-169549,25522,112385,105333,102355,65527,1346761,,,,,South,,,
215,1996_HAWAII,Hawaii,1996,1199019,91391,1079097,28531,1231550,671105,328131,103048,129266,-32531,694,16129,14864,13786,10466,187653,,,,,West,,,
216,1996_IDAHO,Idaho,1996,1134052,80486,718218,335348,1198223,642377,327291,47750,157468,-64171,1689,17562,18085,19998,17075,245252,,,,,West,,,
217,1996_ILLINOIS,Illinois,1996,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624,1112689,309029,50857,152268,145919,141348,123783,1973040,,,,,Midwest,,,
218,1996_INDIANA,Indiana,1996,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283,616866,-221373,5263,74803,72246,76566,62923,982876,,,,,Midwest,,,
219,1996_IOWA,Iowa,1996,3258040,147878,1486426,1623736,3284185,1679091,931857,134624,242065,-26145,5042,37101,34918,38801,35650,502941,,,,,Midwest,,,
220,1996_KANSAS,Kansas,1996,2914544,140242,1658774,1115528,3007653,1468081,906796,169091,318829,-93109,3723,32890,35077,37164,29244,466293,,,,,Midwest,,,
221,1996_KENTUCKY,Kentucky,1996,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647,413638,-203647,19428,46450,47018,49641,38460,656089,,,,,South,,,
222,1996_LOUISIANA,Louisiana,1996,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287,236616,64258,20066,61170,59082,57344,41759,793296,,,,,South,,,
223,1996_MAINE,Maine,1996,1485138,78626,647382,759130,1465093,857253,398040,63537,62645,20045,828,15864,16621,17124,12851,213593,,,,,Northeast,,,
224,1996_MARYLAND,Maryland,1996,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330,449601,-136688,19639,61856,63693,59236,44232,818583,,,,,South,,,
225,1996_MASSACHUSETTS,Massachusetts,1996,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882,360126,-349819,15695,76519,73659,67029,52569,933898,,,,,Northeast,,,
226,1996_MICHIGAN,Michigan,1996,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888,919074,-59813,16870,137096,127113,122686,95028,1685714,,,,,Midwest,,,
227,1996_MINNESOTA,Minnesota,1996,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475,762106,-321869,8902,62383,63024,65881,60413,847204,,,,,Midwest,,,
228,1996_MISSISSIPPI,Mississippi,1996,2241561,295014,1285429,661118,2268726,1238512,599427,166353,231093,-27165,1052,39459,37315,38879,25711,503967,,,,,South,,,
229,1996_MISSOURI,Missouri,1996,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616,568575,-26771,16156,69215,67533,69195,54488,900517,,,,,Midwest,,,
230,1996_MONTANA,Montana,1996,944623,90354,452250,402019,924259,538091,289907,37370,48074,20364,500,11757,12479,13183,11018,164627,,,,,West,,,
231,1996_NEBRASKA,Nebraska,1996,1909834,100886,574359,1234589,1940808,1067391,497288,71038,247543,-30974,4104,21874,21440,22912,19786,291967,,,,,Midwest,,,
232,1996_NEVADA,Nevada,1996,1551169,67278,997400,486491,1608989,767237,483238,53033,229949,-57820,1868,22875,22597,21041,15316,282131,,,,,West,,,
233,1996_NEW_HAMPSHIRE,New Hampshire,1996,1269380,40622,84837,1143921,1295106,725549,340457,42174,97166,-25726,1535,8569,16643,15738,11158,198308,,,,,Northeast,,,
234,1996_NEW_JERSEY,New Jersey,1996,12389781,408872,4589725,7391184,12469216,6636622,4099193,469558,753213,-79435,9737,92831,91665,82728,67460,1227832,,,,,Northeast,,,
235,1996_NEW_MEXICO,New Mexico,1996,1750519,215525,1281567,253427,1642517,798365,519816,81877,218014,108002,3894,24324,25029,26017,17073,332632,,,,,West,,,
236,1996_NEW_YORK,New York,1996,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356,1835923,-948148,31566,210795,205572,196724,146738,2843131,,,,,Northeast,,,
237,1996_NORTH_CAROLINA,North Carolina,1996,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269,687268,-711,8535,102435,94840,91793,61593,1210108,,,,,South,,,
238,1996_NORTH_DAKOTA,North Dakota,1996,655971,69370,267306,319295,657809,338326,169545,52456,52160,-1838,619,8464,8736,9943,8686,120123,,,,,Midwest,,,
239,1996_OHIO,Ohio,1996,12172778,704629,4831397,6636752,11935582,6291682,4046180,532065,843253,237196,21389,140234,137737,140248,117161,1844698,,,,,Midwest,,,
240,1996_OKLAHOMA,Oklahoma,1996,3185234,278281,1856294,1050659,3195426,1640558,948125,299920,255103,-10192,4600,50387,46526,49065,36113,620695,,,,,South,,,
241,1996_OREGON,Oregon,1996,3375710,192228,1822648,1360834,3509765,1879638,1104418,116224,305484,-134055,878,39829,41373,42862,34794,537854,,,,,West,,,
242,1996_PENNSYLVANIA,Pennsylvania,1996,14671368,760182,5629751,8281435,15048791,7960931,4101534,580399,1195395,-377423,3005,133608,136710,136746,114183,1804256,,,,,Northeast,,,
243,1996_RHODE_ISLAND,Rhode Island,1996,1135192,57826,459171,618195,1092459,699778,321959,24931,20181,42733,666,11366,11829,11104,8428,151324,,,,,Northeast,,,
244,1996_SOUTH_CAROLINA,South Carolina,1996,3594408,287181,1870037,1437190,3493720,1820849,986157,235742,367884,100688,8408,47374,50598,50625,35546,652816,,,,,South,,,
245,1996_SOUTH_DAKOTA,South Dakota,1996,710728,67493,209375,433860,689818,383377,201190,32183,56451,20910,1192,10284,10668,11377,9552,143331,,,,,Midwest,,,
246,1996_TENNESSEE,Tennessee,1996,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847,460149,-161163,11653,74529,67330,66465,50332,904818,,,,,South,,,
247,1996_TEXAS,Texas,1996,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475,2667181,-160428,133303,285002,294431,290666,195075,3828975,,,,,South,,,
248,1996_UTAH,Utah,1996,2035726,134703,1197910,703113,2150719,1132806,471430,153581,342609,-114993,3784,34882,34227,36860,34795,481812,,,,,West,,,
249,1996_VERMONT,Vermont,1996,965238,36693,215657,712888,975817,424562,219243,23167,56478,-10579,1404,7530,8152,8374,6622,106341,,,,,Northeast,,,
250,1996_VIRGINIA,Virginia,1996,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988,721139,-228865,3917,86542,82571,80842,64497,1096093,,,,,South,,,
251,1996_WASHINGTON,Washington,1996,6354593,366716,4288899,1698978,6578388,3222598,1927517,280214,895494,-223795,5353,73577,74697,76033,62235,974504,,,,,West,,,
252,1996_WEST_VIRGINIA,West Virginia,1996,1958647,158572,1222505,577570,1936848,1131846,556873,130467,101350,21799,4433,22485,21944,24150,21215,304052,,,,,South,,,
253,1996_WISCONSIN,Wisconsin,1996,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389,617334,-178435,19790,62455,64670,66488,60542,879259,,,,,Midwest,,,
254,1996_WYOMING,Wyoming,1996,664057,41007,339629,283421,676305,360100,200228,21910,78444,-12248,,6782,7283,8270,7129,99058,,,,,West,,,
255,1997_ALABAMA,Alabama,1997,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955,420070,18164,9886,58326,57431,58210,44272,749207,,,,,South,,,
256,1997_ALASKA,Alaska,1997,1131950,145563,692364,294023,1237103,651935,372788,40973,152330,-105153,2183,10249,10473,9954,7771,132123,,,,,West,,,
257,1997_ARIZONA,Arizona,1997,4343262,405291,1907516,2030455,4432360,1977550,1252277,265183,678793,-89098,4674,63857,65170,60138,44259,814113,,,,,West,,,
258,1997_ARKANSAS,Arkansas,1997,2355859,218137,1387107,750615,2379496,1291727,667439,158337,192204,-23637,1672,35761,34067,36229,29204,456497,,,,,South,,,
259,1997_CALIFORNIA,California,1997,35614934,2850766,20560730,12203438,33862281,18160435,10040400,1792979,3088674,1752653,76584,463684,451069,412604,317595,5803887,,,,,West,,,
260,1997_COLORADO,Colorado,1997,4133275,205038,1784304,2143933,4398196,2188731,1205308,154175,678631,-264921,12861,51408,53023,52632,39263,687167,,,,,West,,,
261,1997_CONNECTICUT,Connecticut,1997,4788489,158453,1719703,2910333,4642835,2709106,1368262,164857,194220,145654,9680,42382,43175,39089,29660,535164,,,,,Northeast,,,
262,1997_DELAWARE,Delaware,1997,898926,56722,575855,266349,889631,486550,265674,39021,73946,9295,572,8039,8758,8905,6741,111960,,,,,South,,,
264,1997_FLORIDA,Florida,1997,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190,2111449,-201041,54044,174874,180873,173913,108366,2294077,,,,,South,,,
265,1997_GEORGIA,Georgia,1997,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635,1056516,-235278,29357,111081,108023,103107,69355,1375980,,,,,South,,,
266,1997_HAWAII,Hawaii,1997,1213792,95795,1088410,29587,1241375,685225,326596,105850,123704,-27583,606,15473,15127,13829,10266,189887,,,,,West,,,
267,1997_IDAHO,Idaho,1997,1200186,80754,747250,372182,1293705,680063,353044,51999,178703,-93519,2109,17499,18527,19696,17020,244403,,,,,West,,,
268,1997_ILLINOIS,Illinois,1997,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869,1598074,8512,55835,153934,146478,145853,129084,1998289,,,,,Midwest,,,
269,1997_INDIANA,Indiana,1997,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709,667028,560055,5521,72989,75303,75575,64829,986836,,,,,Midwest,,,
270,1997_IOWA,Iowa,1997,3406582,153160,1646498,1606924,3485339,1752717,983324,142001,295558,-78757,4757,36486,34950,37631,36808,501054,,,,,Midwest,,,
271,1997_KANSAS,Kansas,1997,3029537,152455,1682302,1194780,2949608,1476664,959322,180594,188156,79929,5373,32274,35172,36832,30922,468687,,,,,Midwest,,,
272,1997_KENTUCKY,Kentucky,1997,3842885,341901,2381664,1119320,3903139,2120583,1133417,242137,324367,-60254,22065,48324,47241,50385,40153,669322,,,,,South,,,
273,1997_LOUISIANA,Louisiana,1997,4106095,478008,2087903,1540184,4027228,2205048,1176952,303024,249895,78867,15442,60679,57485,55957,41527,776813,,,,,South,,,
274,1997_MAINE,Maine,1997,1537085,74503,669487,793095,1527663,906697,405474,59141,71625,9422,969,15543,16834,17218,12820,212579,,,,,Northeast,,,
275,1997_MARYLAND,Maryland,1997,6040883,292260,2343928,3404695,6217120,3359984,1893583,289761,592725,-176237,19739,60385,64763,60010,46532,830744,,,,,South,,,
276,1997_MASSACHUSETTS,Massachusetts,1997,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732,439273,106217,18226,73125,75586,69388,54354,949006,,,,,Northeast,,,
277,1997_MICHIGAN,Michigan,1997,13759710,806713,8728340,4224657,14235902,6777568,4401535,649063,1478950,-476192,22468,133202,123229,119473,92690,1702717,,,,,Midwest,,,
278,1997_MINNESOTA,Minnesota,1997,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789,799154,-585796,8945,62126,63494,66529,63727,853621,,,,,Midwest,,,
279,1997_MISSISSIPPI,Mississippi,1997,2274700,305516,1253204,715980,2319324,1242701,629587,167473,244101,-44624,1289,39378,38266,38455,26788,504792,,,,,South,,,
280,1997_MISSOURI,Missouri,1997,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482,552305,22429,16384,71575,67790,68190,55673,910613,,,,,Midwest,,,
281,1997_MONTANA,Montana,1997,989991,90565,465343,434083,972059,557840,303522,39685,59716,17932,484,11553,12165,13035,11301,162335,,,,,West,,,
282,1997_NEBRASKA,Nebraska,1997,1994021,115783,630765,1247473,1946725,1081994,515148,77333,213672,47296,4514,21436,21168,23190,20912,292681,,,,,Midwest,,,
283,1997_NEVADA,Nevada,1997,1701290,68131,1089122,544037,1905940,858110,526090,57372,369529,-204650,1902,23809,23936,21910,15782,296621,,,,,West,,,
284,1997_NEW_HAMPSHIRE,New Hampshire,1997,1339186,44339,94550,1200297,1431472,758383,363154,43136,169477,-92286,1577,8763,16688,15967,11656,201629,,,,,Northeast,,,
285,1997_NEW_JERSEY,New Jersey,1997,12910890,427260,4799701,7683929,13242022,7106433,4171762,496433,938533,-331132,10220,92171,94806,83985,68008,1250276,,,,,Northeast,,,
286,1997_NEW_MEXICO,New Mexico,1997,1768148,231271,1287163,249714,1826524,884961,575080,90233,249670,-58376,4131,24346,25521,25525,18080,331673,,,,,West,,,
287,1997_NEW_YORK,New York,1997,26775074,1446691,10477889,14850494,28227561,16259479,7136050,933478,2561130,-1452487,32086,206548,210379,197148,146818,2861823,,,,,Northeast,,,
288,1997_NORTH_CAROLINA,North Carolina,1997,6827952,471258,4258017,2098677,7007690,3704935,1869526,436235,848228,-179738,8195,102951,98688,93033,62552,1236083,,,,,South,,,
289,1997_NORTH_DAKOTA,North Dakota,1997,683331,75316,270361,337654,679692,351542,177522,52363,47992,3639,713,8373,8678,9555,8815,118572,,,,,Midwest,,,
290,1997_OHIO,Ohio,1997,12630491,728751,5124101,6777639,12421963,6449340,4011117,636681,1075506,208528,20795,137372,138301,138635,120070,1847114,,,,,Midwest,,,
291,1997_OKLAHOMA,Oklahoma,1997,3413742,278209,1974522,1161011,3390894,1739943,1013092,317185,282622,22848,2494,54203,46397,48030,37568,623681,,,,,South,,,
292,1997_OREGON,Oregon,1997,3477420,191660,1826329,1459431,3792572,1992346,1156521,127783,395441,-315152,781,38976,41710,42466,34419,541346,,,,,West,,,
293,1997_PENNSYLVANIA,Pennsylvania,1997,15184431,781493,5695856,8707082,15777276,8216134,4229482,598223,1400173,-592845,2979,129198,138585,135882,117432,1815151,,,,,Northeast,,,
294,1997_RHODE_ISLAND,Rhode Island,1997,1185534,63214,470876,651444,1175638,740878,336147,47227,21853,9896,629,11397,12083,11272,8633,153321,,,,,Northeast,,,
295,1997_SOUTH_CAROLINA,South Carolina,1997,3874045,303240,2027332,1543473,3921465,1958816,1110236,246858,509633,-47420,8699,46748,51992,50775,36576,659273,,,,,South,,,
296,1997_SOUTH_DAKOTA,South Dakota,1997,747462,70568,265354,411540,711052,390953,206419,33050,63192,36410,924,10465,10375,11370,9939,142443,,,,,Midwest,,,
297,1997_TENNESSEE,Tennessee,1997,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981,479484,-304530,11784,74912,67196,64518,48881,893044,,,,,South,,,
298,1997_TEXAS,Texas,1997,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593,3147085,-579443,135616,289683,296894,292648,206928,3891877,,,,,South,,,
299,1997_UTAH,Utah,1997,2187279,140044,1367806,679429,2178778,1176955,504640,160763,282827,8501,3806,35310,35306,36365,35900,482957,,,,,West,,,
300,1997_VERMONT,Vermont,1997,1022546,37631,232557,752358,1069297,461439,229220,25761,96165,-46751,1222,7281,8029,8375,6831,105984,,,,,Northeast,,,
301,1997_VIRGINIA,Virginia,1997,7345090,356767,2938616,4049707,7436340,3852814,2154066,383787,831898,-91250,4036,85729,83447,82753,66430,1110815,,,,,South,,,
302,1997_WASHINGTON,Washington,1997,6667626,388123,4443435,1836068,6792261,3356299,1986859,293323,897137,-124635,6671,72922,75322,76664,64731,991235,,,,,West,,,
303,1997_WEST_VIRGINIA,West Virginia,1997,2053981,170220,1286247,597514,2018185,1131889,586187,140495,144209,35796,4838,22282,21405,23002,21765,301419,,,,,South,,,
304,1997_WISCONSIN,Wisconsin,1997,6724752,288586,3681682,2754484,6990489,3747953,1988121,226505,761190,-265737,19627,60932,63661,66601,63188,881780,,,,,Midwest,,,
305,1997_WYOMING,Wyoming,1997,660079,43171,320566,296342,695127,362705,206739,23104,84230,-35048,,6496,7061,8232,7077,97115,,,,,West,,,
306,1998_ALABAMA,Alabama,1998,4140537,374153,2589819,1176565,4245033,2218693,1155492,357731,458351,-104496,10341,58055,58610,57105,43957,747980,,,211,255,South,,,
307,1998_ALASKA,Alaska,1998,1206195,157335,745814,303046,1222893,680848,376448,42456,104903,-16698,2017,9838,10555,10497,8403,135373,,,,,West,,,
308,1998_ARIZONA,Arizona,1998,4675296,470398,2000801,2204097,4726098,2091741,1315931,279785,759108,-50802,5209,65312,67764,63943,45813,848262,,,206,260,West,,,
309,1998_ARKANSAS,Arkansas,1998,2567380,226475,1505419,835486,2536027,1367612,731619,170279,192590,31353,1390,34120,35034,35936,29123,452256,,,209,256,South,,,
310,1998_CALIFORNIA,California,1998,39183018,3149260,22840500,13193258,38087666,20083913,10939061,1862674,4335730,1095352,81926,459262,462241,424768,334852,5926037,,,202,252,West,,,
311,1998_COLORADO,Colorado,1998,4359021,215071,1879850,2264100,4739136,2253623,1470619,158788,622534,-380115,13068,50859,54382,53556,40076,699135,,,220,264,West,,,
312,1998_CONNECTICUT,Connecticut,1998,5024673,189689,1828216,3006768,4810851,2844608,1444460,162325,144785,213822,10056,42500,44520,40254,30437,544698,,,230,270,Northeast,,,
313,1998_DELAWARE,Delaware,1998,934530,59955,594617,279958,915207,511618,275898,41035,61153,19323,602,8025,8538,8964,6770,113262,,,207,254,South,,,
315,1998_FLORIDA,Florida,1998,15595671,1116607,7742607,6736457,15155383,7160434,4604765,1073030,1949539,440288,53969,174470,186203,179066,112724,2337633,,,206,255,South,,,
316,1998_GEORGIA,Georgia,1998,9207163,594406,4737025,3875732,8990897,4822729,2477958,488371,1023011,216266,30779,112287,112226,104863,71127,1401291,,,209,257,South,,,
317,1998_HAWAII,Hawaii,1998,1279125,107149,1141001,30975,1266378,712023,328519,104350,121486,12747,674,15019,15215,13339,10384,188069,,,200,249,West,,,
318,1998_IDAHO,Idaho,1998,1310960,90011,822017,398932,1342719,714369,377484,53790,165324,-31759,2123,17318,18510,19073,17255,244722,,,,,West,,,
319,1998_ILLINOIS,Illinois,1998,14688777,962367,4807076,8919334,15207067,7391186,4544061,637882,1917001,-518290,59389,150953,152841,148529,127506,2011530,,,,,Midwest,,,
320,1998_INDIANA,Indiana,1998,7656749,343921,3770236,3542592,7649103,3745167,2089790,352606,766633,7646,5557,71996,77667,74775,64293,989001,,,,,Midwest,,,
321,1998_IOWA,Iowa,1998,3589705,168098,1715712,1705895,3650286,1827658,1022484,145224,325840,-60581,4975,35772,35776,38374,37166,498214,,,220,,Midwest,,,
322,1998_KANSAS,Kansas,1998,3207670,188910,1868123,1150637,3087318,1536690,1013241,193699,188870,120352,2595,31279,35197,37189,31955,472353,,,221,268,Midwest,,,
323,1998_KENTUCKY,Kentucky,1998,3938009,367810,2411836,1158363,4018512,2116458,1179822,241709,400122,-80503,16864,46900,48707,49580,39369,655687,,,218,262,South,,,
324,1998_LOUISIANA,Louisiana,1998,4443468,498082,2266287,1679099,4379797,2387847,1265136,322067,310116,63671,16486,58922,57476,56683,41479,768734,,,200,252,South,,,
325,1998_MAINE,Maine,1998,1611926,82445,696430,833051,1601411,949523,422020,60837,83017,10515,1078,14745,16587,17438,12996,211051,,,225,271,Northeast,,,
326,1998_MARYLAND,Maryland,1998,6521269,325321,2514101,3681847,6519389,3584678,1902782,302974,558202,1880,20013,57813,67230,62174,49321,841671,,,212,261,South,,,
327,1998_MASSACHUSETTS,Massachusetts,1998,7726497,366880,3183950,4175667,8098720,4849603,2173146,255100,469395,-372223,18884,71390,77943,72101,55369,962317,,,223,269,Northeast,,,
328,1998_MICHIGAN,Michigan,1998,14712250,866216,9474264,4371770,14905765,6895840,4546053,663827,1723267,-193515,23782,131021,127655,123565,94361,1720287,,,216,,Midwest,,,
329,1998_MINNESOTA,Minnesota,1998,6672384,313550,3363505,2995329,6815289,3384437,1721705,452482,781250,-142905,9116,61023,64101,67899,63014,856455,,,219,265,Midwest,,,
330,1998_MISSISSIPPI,Mississippi,1998,2400660,322350,1319058,759252,2543454,1320613,678492,173401,333170,-142794,1548,39509,38471,37322,26452,502379,,,203,251,South,,,
331,1998_MISSOURI,Missouri,1998,5990499,387035,2873051,2730413,5849648,3083844,1693964,327445,553090,140851,16584,67374,69262,69965,56165,913494,,,216,262,Midwest,,,
332,1998_MONTANA,Montana,1998,1035636,102844,478345,454447,1007146,575114,306419,39258,73846,28490,515,10848,11808,12994,11611,159988,,,225,271,West,,,
333,1998_NEBRASKA,Nebraska,1998,2062836,130904,663420,1268512,1966403,1086607,528690,79003,213815,96433,4595,21145,21378,22725,21517,291140,,,,,Midwest,,,
334,1998_NEVADA,Nevada,1998,1906860,84699,1193619,628542,2030065,943345,575000,60708,340415,-123205,2140,23986,25629,23168,16824,311061,,,206,258,West,,,
335,1998_NEW_HAMPSHIRE,New Hampshire,1998,1420100,51977,127621,1240502,1428447,808107,378359,44977,94615,-8347,1586,8831,16959,16848,12148,204713,,,226,,Northeast,,,
336,1998_NEW_JERSEY,New Jersey,1998,13786951,477055,5246527,8063369,13973201,7267644,4442457,516387,1110805,-186250,10560,90689,97881,86032,68618,1268996,,,,,Northeast,,,
337,1998_NEW_MEXICO,New Mexico,1998,1913783,253889,1383314,276580,1933538,941273,620639,95879,247033,-19755,2932,23759,25701,25716,18724,328753,,,205,258,West,,,
338,1998_NEW_YORK,New York,1998,27900803,1522836,11033327,15344640,29853891,17266937,7384638,1044857,2723181,-1953088,38196,202894,214629,200097,148315,2877143,,,215,265,Northeast,,,
339,1998_NORTH_CAROLINA,North Carolina,1998,7516979,520499,4821450,2175030,7688076,4130685,1936511,459818,994055,-171097,7610,102603,102456,95522,63476,1254821,,,213,262,South,,,
340,1998_NORTH_DAKOTA,North Dakota,1998,731384,85963,284970,360451,715126,366639,184916,54277,57202,16258,671,7920,8416,9321,9082,114927,,,,,Midwest,,,
341,1998_OHIO,Ohio,1998,13577343,755883,5539484,7281976,13005301,6688427,4268412,663358,1126127,572042,22373,134981,140467,141749,120670,1842163,,,,,Midwest,,,
342,1998_OKLAHOMA,Oklahoma,1998,3559980,312708,2053438,1193834,3617938,1811901,1079168,358001,328855,-57958,16787,44664,46750,47933,38769,628492,,,219,265,South,,,
343,1998_OREGON,Oregon,1998,3892091,245664,2205951,1440476,3939722,2067377,1304874,139912,319162,-47631,547,37530,42784,42825,35079,542809,,,212,266,West,,,
344,1998_PENNSYLVANIA,Pennsylvania,1998,15671363,856423,5783893,9031047,16432921,8346538,4414783,615097,1659536,-761558,2712,126155,139387,138766,118850,1816414,,,,,Northeast,,,
345,1998_RHODE_ISLAND,Rhode Island,1998,1255280,67433,503267,684580,1221558,762746,355309,48765,24136,33722,811,10907,12323,11372,8727,154785,,,218,264,Northeast,,,
346,1998_SOUTH_CAROLINA,South Carolina,1998,4109130,328411,2144562,1636157,4241163,2072959,1183620,254897,620396,-132033,9188,47160,53929,51700,36637,664600,,,209,255,South,,,
347,1998_SOUTH_DAKOTA,South Dakota,1998,793101,77009,281856,434236,781279,403237,214983,34336,107579,11822,654,9495,9931,10841,9521,132495,,,,,Midwest,,,
348,1998_TENNESSEE,Tennessee,1998,4757639,405078,2268050,2084511,4988208,2829375,1291193,274143,494391,-230569,12518,71870,71249,66468,49440,905454,,,212,258,South,,,
349,1998_TEXAS,Texas,1998,24485263,1830474,10632566,12022223,25723965,12804069,6944751,1209084,3561286,-1238702,136945,290432,301475,299760,212503,3945367,,,214,261,South,,,
350,1998_UTAH,Utah,1998,2295870,166979,1394158,734733,2326611,1250866,536216,167139,307674,-30741,4115,34529,35008,35559,35706,481176,,,216,263,West,,,
351,1998_VERMONT,Vermont,1998,1089658,44750,253591,791317,1064388,461901,240460,25038,63485,25270,2377,6976,8165,8200,6823,105120,,,,,Northeast,,,
352,1998_VIRGINIA,Virginia,1998,7723744,401716,3046785,4275243,7813707,4109813,2275415,408498,796239,-89963,5161,84154,87278,85348,67787,1124022,,,217,266,South,,,
